iteration,mean_failed_near_human,mean_stylized,mean_human_conventional,mean_human_unconventional
0,-0.9403680901952517,0.05179439452671936,0.1821583796349739,0.21310168092236864
1,-0.8977053545439543,0.1891908059457116,0.3526838980983809,0.09961252634807041
2,-0.5407656023322646,0.194056358698217,-0.05359790101989028,0.1679143996359784
3,-0.6832036782023387,0.014229035502656131,-0.031000030001867764,0.11616099717712894
4,-1.0008558291892151,-0.3889109448514604,0.38419736551852035,0.21343352139689628
5,-0.49363684650738787,0.38192222005564214,-0.10421067276475206,-0.2673101842696052
6,-0.8540415009984516,0.14496673061564191,0.03314099459607293,-0.15454090914229418
7,-0.3713259057764728,0.004525142245283934,-0.20458046076038322,0.04353240368387561
8,-0.5887877834690691,-0.10686234349088251,0.1849578822944056,0.08403633751073733
9,-0.5133551836823951,-0.15724205200866478,-0.024039384989503785,-0.04473579223700887
10,-0.616248827083786,-0.14075478662994084,0.29618630999252316,0.37966696131736705
11,-0.6168615018463395,0.06938180524032413,0.20085173450153684,0.40929657541875175
12,-0.607185657620655,0.3036234686332438,0.031549362837021824,0.5432117352362366
13,-0.7505281047538908,0.061498287784091575,-0.01467271610343284,0.4273066921181793
14,-0.6082090283123204,0.017274212454021894,0.007822026516964922,-0.06792960036556318
15,-0.5270729291394917,0.4630839154761359,0.07606909703427456,-0.24633282400287038
16,-0.8181167047118901,0.1337660618341226,-0.1401420307776557,0.1211958932854459
17,-0.5533198359459879,-0.1620151132285505,-0.36624183042379677,-0.11535403218977791
18,-0.5644001954165156,0.4023725747673423,0.08360808024424125,0.5051303484561537
19,-0.5870419205350819,0.3743944671591278,0.08834290354256923,0.3589188610316474
20,-0.676375970984713,0.09987361869506428,0.41002141498326017,0.18472182192307418
21,-0.10484739941773989,-0.6490717925065551,0.09657371105471713,0.07563173021693172
22,-0.6334384099058387,-0.10423199580283336,0.0583366687314946,0.22593531233095596
23,-0.5109058434941592,-0.354746527338481,-0.02331975588023624,-0.08469013902611898
24,-1.2966954470882617,0.37636364908451647,-0.374395035387953,-0.054258948159628555
25,-0.856152991851711,-0.4921429387574733,-0.12578888276747086,0.42836476479861335
26,-0.5555474895909659,-0.03385018866568878,0.30860241337894667,0.05541141925359613
27,-0.3606327379465829,-0.019935382010323195,-0.1479984554636487,-0.04184775444145388
28,-1.4376735110462693,-0.07753626648276997,0.0913082883507372,0.12161954515463477
29,-0.731464960481267,-0.11750055262374375,-0.04798212287743099,0.4180690759104818
30,-1.0384429251225453,0.15448839091974378,0.22355214658281783,0.4881312789562574
31,-0.7618181152095479,-0.18829601328529727,-0.04838968286500107,-0.2665169723615716
32,-1.4570947558895209,0.03602735961425428,-0.07290835701092577,-0.025009453991787185
33,-0.8192137950246564,-0.14012704769630172,-0.017051830811489734,-0.022977644265540713
34,-0.8444010968319805,0.0701917771272336,0.19041251598156747,0.08611513373974647
35,-1.1683903349205986,0.08667904250595755,0.46940784530573143,0.43391771524493067
36,-0.6420402584750101,0.4769987221315016,-0.0624782451307782,0.1812361269257695
37,-0.48454021851104184,-0.2411829012414568,-0.03733380368293136,-0.030885903836664817
38,-0.8328733687711983,-0.04220611252316301,-0.18650614606214502,-0.08659215581372304
