uncanny_path,dist_to_conventional_centroid,dist_to_unconventional_centroid,closer_to
C:\Users\maryc\Downloads\881project\uncannyrobot\otonaroid.jpg,24.277792,24.393707,human_conventional
C:\Users\maryc\Downloads\881project\uncannyrobot\erica.jpg,25.97027,25.581905,human_unconventional
C:\Users\maryc\Downloads\881project\uncannyrobot\kaspar.jpg,32.334354,31.164335,human_unconventional
C:\Users\maryc\Downloads\881project\uncannyrobot\bina48.png,24.337772,24.778015,human_conventional
C:\Users\maryc\Downloads\881project\uncannyrobot\nadine.png,23.186255,23.57587,human_conventional
C:\Users\maryc\Downloads\881project\uncannyrobot\geminoid H1-4.jpg,23.138498,23.91263,human_conventional
C:\Users\maryc\Downloads\881project\uncannyrobot\sophia.png,21.937555,22.250637,human_conventional
