orig_idx,group,path,filename,dist_to_conventional_centroid,coherence_score,iteration
111,human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\ss4.PNG,ss4.PNG,24.338602,1.1204264387577667,1
110,human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\images.jpg,images.jpg,25.517172,0.27671710361436475,1
100,human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\download (4).jpg,download (4).jpg,27.91806,0.08757208848007958,1
103,human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\download.jpg,download.jpg,24.064756,0.3612849732375988,1
105,human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\images (11).jpg,images (11).jpg,28.99188,-0.4712005553551455,1
105,human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\images (11).jpg,images (11).jpg,28.99188,-0.4712005553551455,1
97,human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\download (1).jpg,download (1).jpg,23.159885,-0.2063118089430259,1
5,failed_near_human,C:\Users\maryc\Downloads\881project\uncannyrobot\kaspar.jpg,kaspar.jpg,32.08162,-1.3005859003217395,2
1,failed_near_human,C:\Users\maryc\Downloads\881project\uncannyrobot\erica.jpg,erica.jpg,26.008514,-0.08914293856025549,2
7,failed_near_human,C:\Users\maryc\Downloads\881project\uncannyrobot\nadine.png,nadine.png,23.260023,-0.22675567569889038,2
6,failed_near_human,C:\Users\maryc\Downloads\881project\uncannyrobot\kodomoroid.jpg,kodomoroid.jpg,24.71137,-1.3500729892600272,2
9,failed_near_human,C:\Users\maryc\Downloads\881project\uncannyrobot\sophia.png,sophia.png,22.227095,-0.055277483770359834,2
7,failed_near_human,C:\Users\maryc\Downloads\881project\uncannyrobot\nadine.png,nadine.png,23.260023,-0.22675567569889038,2
3,failed_near_human,C:\Users\maryc\Downloads\881project\uncannyrobot\han.png,han.png,23.82508,-0.5367685530156894,2
16,stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\topio.png,topio.png,29.49471,0.3022102199483647,2
12,stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\kengoro.png,kengoro.png,28.643248,0.09820331156446942,2
12,stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\kengoro.png,kengoro.png,28.643248,0.09820331156446942,2
16,stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\topio.png,topio.png,29.49471,0.3022102199483647,2
12,stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\kengoro.png,kengoro.png,28.643248,0.09820331156446942,2
10,stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\albert einstein hubo.png,albert einstein hubo.png,25.691391,0.8760118911001875,2
13,stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\kojiro.png,kojiro.png,20.69787,-0.41664775480280614,2
80,human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_47.png,human_47.png,22.090355,-1.049848650454231,2
32,human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_146.png,human_146.png,20.251122,-0.2490453117575953,2
54,human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_202.png,human_202.png,22.012062,0.1647699004594112,2
27,human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_135.png,human_135.png,22.03515,0.007784476482537839,2
71,human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_259.png,human_259.png,19.861206,0.10406835039170312,2
55,human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_206.png,human_206.png,16.4908,1.0223956592191759,2
43,human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_171.png,human_171.png,20.132704,-0.37530973148023367,2
101,human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\download (6).jpg,download (6).jpg,28.936382,-0.3185343503752855,2
107,human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\images (6).jpg,images (6).jpg,21.169483,0.26712001078478337,2
109,human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\images (9).jpg,images (9).jpg,27.274559,-0.26696864173315127,2
113,human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\ss9.PNG,ss9.PNG,26.06717,0.9295086426490012,2
104,human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\images (10).jpg,images (10).jpg,28.9236,-0.6360580268558174,2
99,human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\download (3).jpg,download (3).jpg,30.341763,0.0799067242245517,2
111,human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\ss4.PNG,ss4.PNG,23.991648,1.1204264387577667,2
6,failed_near_human,C:\Users\maryc\Downloads\881project\uncannyrobot\kodomoroid.jpg,kodomoroid.jpg,25.191002,-1.3500729892600272,3
7,failed_near_human,C:\Users\maryc\Downloads\881project\uncannyrobot\nadine.png,nadine.png,23.611782,-0.22675567569889038,3
0,failed_near_human,C:\Users\maryc\Downloads\881project\uncannyrobot\bina48.png,bina48.png,24.687632,-1.7743973373777044,3
3,failed_near_human,C:\Users\maryc\Downloads\881project\uncannyrobot\han.png,han.png,24.378984,-0.5367685530156894,3
7,failed_near_human,C:\Users\maryc\Downloads\881project\uncannyrobot\nadine.png,nadine.png,23.611782,-0.22675567569889038,3
8,failed_near_human,C:\Users\maryc\Downloads\881project\uncannyrobot\otonaroid.jpg,otonaroid.jpg,23.979555,0.12160225892209693,3
4,failed_near_human,C:\Users\maryc\Downloads\881project\uncannyrobot\jiajia.png,jiajia.png,22.960659,-0.7892777752872663,3
15,stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\romeo.png,romeo.png,33.212532,0.15338793375809723,3
15,stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\romeo.png,romeo.png,33.212532,0.15338793375809723,3
12,stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\kengoro.png,kengoro.png,28.867134,0.09820331156446942,3
16,stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\topio.png,topio.png,29.186995,0.3022102199483647,3
12,stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\kengoro.png,kengoro.png,28.867134,0.09820331156446942,3
11,stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\alter.png,alter.png,24.66736,0.5451271251301395,3
14,stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\milo.png,milo.png,31.939089,-1.2509165872050445,3
67,human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_245.png,human_245.png,19.753775,0.4819876515431206,3
28,human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_136.png,human_136.png,23.181217,0.1566018588800809,3
83,human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_55.png,human_55.png,20.462334,-0.7104787355948956,3
32,human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_146.png,human_146.png,19.592102,-0.2490453117575953,3
81,human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_49.png,human_49.png,19.840822,1.3238086136145506,3
17,human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_10.png,human_10.png,21.903343,-0.17002563624410458,3
80,human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_47.png,human_47.png,22.035925,-1.049848650454231,3
111,human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\ss4.PNG,ss4.PNG,24.323414,1.1204264387577667,3
111,human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\ss4.PNG,ss4.PNG,24.323414,1.1204264387577667,3
108,human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\images (8).jpg,images (8).jpg,23.631905,-1.4914487885698153,3
105,human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\images (11).jpg,images (11).jpg,28.313179,-0.4712005553551455,3
109,human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\images (9).jpg,images (9).jpg,27.577335,-0.26696864173315127,3
101,human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\download (6).jpg,download (6).jpg,29.017178,-0.3185343503752855,3
111,human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\ss4.PNG,ss4.PNG,24.323414,1.1204264387577667,3
5,failed_near_human,C:\Users\maryc\Downloads\881project\uncannyrobot\kaspar.jpg,kaspar.jpg,33.800148,-1.3005859003217395,4
4,failed_near_human,C:\Users\maryc\Downloads\881project\uncannyrobot\jiajia.png,jiajia.png,22.84379,-0.7892777752872663,4
5,failed_near_human,C:\Users\maryc\Downloads\881project\uncannyrobot\kaspar.jpg,kaspar.jpg,33.800148,-1.3005859003217395,4
5,failed_near_human,C:\Users\maryc\Downloads\881project\uncannyrobot\kaspar.jpg,kaspar.jpg,33.800148,-1.3005859003217395,4
0,failed_near_human,C:\Users\maryc\Downloads\881project\uncannyrobot\bina48.png,bina48.png,25.224192,-1.7743973373777044,4
1,failed_near_human,C:\Users\maryc\Downloads\881project\uncannyrobot\erica.jpg,erica.jpg,25.98351,-0.08914293856025549,4
2,failed_near_human,C:\Users\maryc\Downloads\881project\uncannyrobot\geminoid H1-4.jpg,geminoid H1-4.jpg,23.948524,-0.45141505213406097,4
10,stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\albert einstein hubo.png,albert einstein hubo.png,25.317104,0.8760118911001875,4
13,stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\kojiro.png,kojiro.png,21.493406,-0.41664775480280614,4
14,stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\milo.png,milo.png,33.472492,-1.2509165872050445,4
14,stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\milo.png,milo.png,33.472492,-1.2509165872050445,4
13,stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\kojiro.png,kojiro.png,21.493406,-0.41664775480280614,4
15,stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\romeo.png,romeo.png,32.883766,0.15338793375809723,4
13,stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\kojiro.png,kojiro.png,21.493406,-0.41664775480280614,4
23,human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_115.png,human_115.png,21.636059,-0.225160722365829,4
78,human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_44.png,human_44.png,19.526777,0.24313309417257817,4
62,human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_227.png,human_227.png,17.68282,0.7179079048180648,4
67,human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_245.png,human_245.png,19.930393,0.4819876515431206,4
62,human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_227.png,human_227.png,17.68282,0.7179079048180648,4
61,human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_222.png,human_222.png,23.576967,-0.03935573986695949,4
24,human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_116.png,human_116.png,22.221394,0.7929614655106029,4
107,human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\images (6).jpg,images (6).jpg,20.388918,0.26712001078478337,4
111,human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\ss4.PNG,ss4.PNG,23.024973,1.1204264387577667,4
102,human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\download (7).jpg,download (7).jpg,27.18449,0.320453052012185,4
107,human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\images (6).jpg,images (6).jpg,20.388918,0.26712001078478337,4
97,human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\download (1).jpg,download (1).jpg,23.463863,-0.2063118089430259,4
103,human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\download.jpg,download.jpg,23.856504,0.3612849732375988,4
104,human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\images (10).jpg,images (10).jpg,29.40471,-0.6360580268558174,4
9,failed_near_human,C:\Users\maryc\Downloads\881project\uncannyrobot\sophia.png,sophia.png,22.418087,-0.055277483770359834,5
2,failed_near_human,C:\Users\maryc\Downloads\881project\uncannyrobot\geminoid H1-4.jpg,geminoid H1-4.jpg,23.154005,-0.45141505213406097,5
2,failed_near_human,C:\Users\maryc\Downloads\881project\uncannyrobot\geminoid H1-4.jpg,geminoid H1-4.jpg,23.154005,-0.45141505213406097,5
4,failed_near_human,C:\Users\maryc\Downloads\881project\uncannyrobot\jiajia.png,jiajia.png,22.887663,-0.7892777752872663,5
9,failed_near_human,C:\Users\maryc\Downloads\881project\uncannyrobot\sophia.png,sophia.png,22.418087,-0.055277483770359834,5
8,failed_near_human,C:\Users\maryc\Downloads\881project\uncannyrobot\otonaroid.jpg,otonaroid.jpg,25.157564,0.12160225892209693,5
0,failed_near_human,C:\Users\maryc\Downloads\881project\uncannyrobot\bina48.png,bina48.png,24.874193,-1.7743973373777044,5
11,stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\alter.png,alter.png,23.893684,0.5451271251301395,5
15,stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\romeo.png,romeo.png,32.666992,0.15338793375809723,5
10,stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\albert einstein hubo.png,albert einstein hubo.png,24.542816,0.8760118911001875,5
15,stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\romeo.png,romeo.png,32.666992,0.15338793375809723,5
11,stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\alter.png,alter.png,23.893684,0.5451271251301395,5
16,stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\topio.png,topio.png,29.782764,0.3022102199483647,5
12,stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\kengoro.png,kengoro.png,29.358986,0.09820331156446942,5
51,human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_195.png,human_195.png,19.036877,0.3841144653095484,5
69,human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_249.png,human_249.png,21.561766,-0.8977369270309129,5
