iteration,k,pred_unconventional_count,pred_conventional_count,prop_pred_unconventional
70,3,1,6,0.14285714285714285
71,3,1,6,0.14285714285714285
72,3,6,1,0.8571428571428571
73,3,1,6,0.14285714285714285
74,3,0,7,0.0
75,3,7,0,1.0
76,3,6,1,0.8571428571428571
77,3,2,5,0.2857142857142857
78,3,0,7,0.0
79,3,3,4,0.42857142857142855
80,3,7,0,1.0
81,3,0,7,0.0
82,3,3,4,0.42857142857142855
83,3,2,5,0.2857142857142857
84,3,4,3,0.5714285714285714
85,3,4,3,0.5714285714285714
86,3,3,4,0.42857142857142855
87,3,7,0,1.0
88,3,3,4,0.42857142857142855
89,3,5,2,0.7142857142857143
90,3,3,4,0.42857142857142855
91,3,0,7,0.0
92,3,5,2,0.7142857142857143
93,3,0,7,0.0
94,3,4,3,0.5714285714285714
95,3,6,1,0.8571428571428571
96,3,3,4,0.42857142857142855
97,3,7,0,1.0
98,3,7,0,1.0
99,3,7,0,1.0
100,3,3,4,0.42857142857142855
101,3,2,5,0.2857142857142857
102,3,7,0,1.0
103,3,6,1,0.8571428571428571
104,3,0,7,0.0
105,3,0,7,0.0
106,3,0,7,0.0
107,3,0,7,0.0
108,3,1,6,0.14285714285714285
109,3,2,5,0.2857142857142857
110,3,2,5,0.2857142857142857
111,3,6,1,0.8571428571428571
112,3,1,6,0.14285714285714285
113,3,3,4,0.42857142857142855
114,3,4,3,0.5714285714285714
115,3,2,5,0.2857142857142857
116,3,0,7,0.0
117,3,4,3,0.5714285714285714
118,3,3,4,0.42857142857142855
119,3,0,7,0.0
120,3,1,6,0.14285714285714285
121,3,6,1,0.8571428571428571
122,3,3,4,0.42857142857142855
123,3,3,4,0.42857142857142855
124,3,2,5,0.2857142857142857
125,3,3,4,0.42857142857142855
126,3,0,7,0.0
127,3,4,3,0.5714285714285714
128,3,0,7,0.0
129,3,7,0,1.0
130,3,2,5,0.2857142857142857
131,3,4,3,0.5714285714285714
132,3,6,1,0.8571428571428571
133,3,5,2,0.7142857142857143
134,3,3,4,0.42857142857142855
135,3,4,3,0.5714285714285714
136,3,0,7,0.0
137,3,0,7,0.0
138,3,5,2,0.7142857142857143
139,3,4,3,0.5714285714285714
140,3,5,2,0.7142857142857143
141,3,0,7,0.0
142,3,6,1,0.8571428571428571
143,3,1,6,0.14285714285714285
144,3,2,5,0.2857142857142857
145,3,3,4,0.42857142857142855
146,3,0,7,0.0
147,3,6,1,0.8571428571428571
148,3,0,7,0.0
149,3,7,0,1.0
150,3,3,4,0.42857142857142855
151,3,2,5,0.2857142857142857
152,3,0,7,0.0
153,3,6,1,0.8571428571428571
154,3,0,7,0.0
155,3,3,4,0.42857142857142855
156,3,7,0,1.0
157,3,4,3,0.5714285714285714
158,3,0,7,0.0
159,3,4,3,0.5714285714285714
160,3,4,3,0.5714285714285714
161,3,2,5,0.2857142857142857
162,3,6,1,0.8571428571428571
163,3,7,0,1.0
164,3,0,7,0.0
165,3,2,5,0.2857142857142857
166,3,3,4,0.42857142857142855
167,3,7,0,1.0
168,3,1,6,0.14285714285714285
169,3,6,1,0.8571428571428571
170,3,5,2,0.7142857142857143
171,3,6,1,0.8571428571428571
172,3,5,2,0.7142857142857143
173,3,5,2,0.7142857142857143
174,3,2,5,0.2857142857142857
175,3,2,5,0.2857142857142857
176,3,1,6,0.14285714285714285
177,3,1,6,0.14285714285714285
178,3,1,6,0.14285714285714285
179,3,6,1,0.8571428571428571
180,3,5,2,0.7142857142857143
181,3,4,3,0.5714285714285714
182,3,2,5,0.2857142857142857
183,3,4,3,0.5714285714285714
184,3,0,7,0.0
185,3,5,2,0.7142857142857143
186,3,0,7,0.0
187,3,2,5,0.2857142857142857
188,3,5,2,0.7142857142857143
189,3,6,1,0.8571428571428571
190,3,5,2,0.7142857142857143
191,3,0,7,0.0
192,3,3,4,0.42857142857142855
193,3,3,4,0.42857142857142855
194,3,0,7,0.0
195,3,4,3,0.5714285714285714
196,3,2,5,0.2857142857142857
197,3,0,7,0.0
198,3,0,7,0.0
199,3,3,4,0.42857142857142855
200,3,6,1,0.8571428571428571
201,3,5,2,0.7142857142857143
202,3,0,7,0.0
203,3,4,3,0.5714285714285714
204,3,2,5,0.2857142857142857
205,3,0,7,0.0
206,3,5,2,0.7142857142857143
207,3,1,6,0.14285714285714285
208,3,5,2,0.7142857142857143
209,3,0,7,0.0
210,3,0,7,0.0
211,3,3,4,0.42857142857142855
212,3,3,4,0.42857142857142855
213,3,1,6,0.14285714285714285
214,3,6,1,0.8571428571428571
215,3,5,2,0.7142857142857143
216,3,3,4,0.42857142857142855
217,3,4,3,0.5714285714285714
218,3,3,4,0.42857142857142855
219,3,7,0,1.0
220,3,0,7,0.0
221,3,5,2,0.7142857142857143
222,3,0,7,0.0
223,3,5,2,0.7142857142857143
224,3,1,6,0.14285714285714285
225,3,0,7,0.0
226,3,4,3,0.5714285714285714
227,3,7,0,1.0
228,3,1,6,0.14285714285714285
229,3,4,3,0.5714285714285714
230,3,2,5,0.2857142857142857
231,3,0,7,0.0
232,3,5,2,0.7142857142857143
233,3,4,3,0.5714285714285714
234,3,2,5,0.2857142857142857
235,3,4,3,0.5714285714285714
236,3,4,3,0.5714285714285714
237,3,7,0,1.0
238,3,0,7,0.0
239,3,7,0,1.0
240,3,3,4,0.42857142857142855
241,3,5,2,0.7142857142857143
242,3,4,3,0.5714285714285714
243,3,4,3,0.5714285714285714
244,3,0,7,0.0
245,3,4,3,0.5714285714285714
246,3,4,3,0.5714285714285714
247,3,1,6,0.14285714285714285
248,3,5,2,0.7142857142857143
249,3,0,7,0.0
250,3,5,2,0.7142857142857143
251,3,5,2,0.7142857142857143
252,3,2,5,0.2857142857142857
253,3,1,6,0.14285714285714285
254,3,2,5,0.2857142857142857
255,3,1,6,0.14285714285714285
256,3,5,2,0.7142857142857143
257,3,0,7,0.0
258,3,4,3,0.5714285714285714
259,3,2,5,0.2857142857142857
260,3,0,7,0.0
261,3,0,7,0.0
262,3,5,2,0.7142857142857143
263,3,4,3,0.5714285714285714
264,3,3,4,0.42857142857142855
265,3,0,7,0.0
266,3,0,7,0.0
267,3,4,3,0.5714285714285714
268,3,0,7,0.0
269,3,7,0,1.0
270,3,3,4,0.42857142857142855
271,3,2,5,0.2857142857142857
272,3,2,5,0.2857142857142857
273,3,0,7,0.0
274,3,0,7,0.0
275,3,2,5,0.2857142857142857
276,3,4,3,0.5714285714285714
277,3,4,3,0.5714285714285714
278,3,4,3,0.5714285714285714
279,3,4,3,0.5714285714285714
280,3,7,0,1.0
281,3,0,7,0.0
282,3,5,2,0.7142857142857143
283,3,7,0,1.0
284,3,7,0,1.0
285,3,1,6,0.14285714285714285
286,3,4,3,0.5714285714285714
287,3,2,5,0.2857142857142857
288,3,1,6,0.14285714285714285
289,3,6,1,0.8571428571428571
290,3,6,1,0.8571428571428571
291,3,1,6,0.14285714285714285
292,3,5,2,0.7142857142857143
293,3,3,4,0.42857142857142855
294,3,4,3,0.5714285714285714
295,3,4,3,0.5714285714285714
296,3,6,1,0.8571428571428571
297,3,1,6,0.14285714285714285
298,3,2,5,0.2857142857142857
299,3,4,3,0.5714285714285714
300,3,2,5,0.2857142857142857
301,3,7,0,1.0
302,3,3,4,0.42857142857142855
303,3,2,5,0.2857142857142857
304,3,4,3,0.5714285714285714
305,3,6,1,0.8571428571428571
306,3,0,7,0.0
307,3,2,5,0.2857142857142857
308,3,3,4,0.42857142857142855
309,3,7,0,1.0
310,3,5,2,0.7142857142857143
311,3,7,0,1.0
312,3,2,5,0.2857142857142857
313,3,5,2,0.7142857142857143
314,3,0,7,0.0
315,3,1,6,0.14285714285714285
316,3,5,2,0.7142857142857143
317,3,5,2,0.7142857142857143
318,3,3,4,0.42857142857142855
319,3,1,6,0.14285714285714285
320,3,0,7,0.0
321,3,0,7,0.0
322,3,5,2,0.7142857142857143
323,3,4,3,0.5714285714285714
324,3,0,7,0.0
325,3,5,2,0.7142857142857143
326,3,6,1,0.8571428571428571
327,3,1,6,0.14285714285714285
328,3,0,7,0.0
329,3,3,4,0.42857142857142855
330,3,0,7,0.0
331,3,5,2,0.7142857142857143
332,3,1,6,0.14285714285714285
333,3,7,0,1.0
334,3,0,7,0.0
335,3,0,7,0.0
336,3,4,3,0.5714285714285714
337,3,0,7,0.0
338,3,3,4,0.42857142857142855
339,3,1,6,0.14285714285714285
340,3,5,2,0.7142857142857143
341,3,2,5,0.2857142857142857
342,3,6,1,0.8571428571428571
343,3,3,4,0.42857142857142855
344,3,4,3,0.5714285714285714
345,3,0,7,0.0
346,3,5,2,0.7142857142857143
347,3,2,5,0.2857142857142857
348,3,4,3,0.5714285714285714
349,3,1,6,0.14285714285714285
350,3,0,7,0.0
351,3,3,4,0.42857142857142855
352,3,3,4,0.42857142857142855
353,3,3,4,0.42857142857142855
354,3,5,2,0.7142857142857143
355,3,0,7,0.0
356,3,3,4,0.42857142857142855
357,3,5,2,0.7142857142857143
358,3,2,5,0.2857142857142857
359,3,2,5,0.2857142857142857
360,3,1,6,0.14285714285714285
361,3,7,0,1.0
362,3,1,6,0.14285714285714285
363,3,6,1,0.8571428571428571
364,3,1,6,0.14285714285714285
365,3,2,5,0.2857142857142857
366,3,6,1,0.8571428571428571
367,3,0,7,0.0
368,3,2,5,0.2857142857142857
369,3,5,2,0.7142857142857143
370,3,0,7,0.0
371,3,1,6,0.14285714285714285
372,3,4,3,0.5714285714285714
373,3,1,6,0.14285714285714285
374,3,3,4,0.42857142857142855
375,3,4,3,0.5714285714285714
376,3,2,5,0.2857142857142857
377,3,0,7,0.0
378,3,4,3,0.5714285714285714
379,3,1,6,0.14285714285714285
380,3,0,7,0.0
381,3,2,5,0.2857142857142857
382,3,3,4,0.42857142857142855
383,3,5,2,0.7142857142857143
384,3,1,6,0.14285714285714285
385,3,0,7,0.0
386,3,0,7,0.0
387,3,5,2,0.7142857142857143
388,3,4,3,0.5714285714285714
389,3,4,3,0.5714285714285714
390,3,5,2,0.7142857142857143
391,3,3,4,0.42857142857142855
392,3,3,4,0.42857142857142855
393,3,1,6,0.14285714285714285
394,3,0,7,0.0
395,3,6,1,0.8571428571428571
396,3,5,2,0.7142857142857143
397,3,7,0,1.0
398,3,5,2,0.7142857142857143
399,3,5,2,0.7142857142857143
400,3,0,7,0.0
401,3,6,1,0.8571428571428571
402,3,1,6,0.14285714285714285
403,3,4,3,0.5714285714285714
404,3,2,5,0.2857142857142857
405,3,6,1,0.8571428571428571
406,3,3,4,0.42857142857142855
407,3,3,4,0.42857142857142855
408,3,4,3,0.5714285714285714
409,3,5,2,0.7142857142857143
410,3,0,7,0.0
411,3,0,7,0.0
412,3,5,2,0.7142857142857143
413,3,2,5,0.2857142857142857
414,3,0,7,0.0
415,3,0,7,0.0
416,3,4,3,0.5714285714285714
417,3,6,1,0.8571428571428571
418,3,5,2,0.7142857142857143
419,3,4,3,0.5714285714285714
420,3,4,3,0.5714285714285714
421,3,5,2,0.7142857142857143
422,3,6,1,0.8571428571428571
423,3,5,2,0.7142857142857143
424,3,5,2,0.7142857142857143
425,3,4,3,0.5714285714285714
426,3,0,7,0.0
427,3,4,3,0.5714285714285714
428,3,6,1,0.8571428571428571
429,3,4,3,0.5714285714285714
430,3,1,6,0.14285714285714285
431,3,0,7,0.0
432,3,4,3,0.5714285714285714
433,3,1,6,0.14285714285714285
434,3,4,3,0.5714285714285714
435,3,5,2,0.7142857142857143
436,3,1,6,0.14285714285714285
437,3,6,1,0.8571428571428571
438,3,3,4,0.42857142857142855
439,3,6,1,0.8571428571428571
440,3,2,5,0.2857142857142857
441,3,2,5,0.2857142857142857
442,3,5,2,0.7142857142857143
443,3,2,5,0.2857142857142857
444,3,2,5,0.2857142857142857
445,3,5,2,0.7142857142857143
446,3,7,0,1.0
447,3,2,5,0.2857142857142857
448,3,6,1,0.8571428571428571
449,3,2,5,0.2857142857142857
450,3,4,3,0.5714285714285714
451,3,7,0,1.0
452,3,2,5,0.2857142857142857
453,3,0,7,0.0
454,3,1,6,0.14285714285714285
455,3,2,5,0.2857142857142857
456,3,7,0,1.0
457,3,0,7,0.0
458,3,0,7,0.0
459,3,3,4,0.42857142857142855
460,3,0,7,0.0
461,3,3,4,0.42857142857142855
462,3,0,7,0.0
463,3,4,3,0.5714285714285714
464,3,4,3,0.5714285714285714
465,3,3,4,0.42857142857142855
466,3,4,3,0.5714285714285714
467,3,1,6,0.14285714285714285
468,3,0,7,0.0
469,3,4,3,0.5714285714285714
470,3,0,7,0.0
471,3,7,0,1.0
472,3,2,5,0.2857142857142857
473,3,0,7,0.0
474,3,1,6,0.14285714285714285
475,3,1,6,0.14285714285714285
476,3,2,5,0.2857142857142857
477,3,5,2,0.7142857142857143
478,3,0,7,0.0
479,3,3,4,0.42857142857142855
480,3,6,1,0.8571428571428571
481,3,6,1,0.8571428571428571
482,3,5,2,0.7142857142857143
483,3,2,5,0.2857142857142857
484,3,3,4,0.42857142857142855
485,3,0,7,0.0
486,3,2,5,0.2857142857142857
487,3,5,2,0.7142857142857143
488,3,6,1,0.8571428571428571
489,3,1,6,0.14285714285714285
490,3,0,7,0.0
491,3,0,7,0.0
492,3,7,0,1.0
493,3,3,4,0.42857142857142855
494,3,6,1,0.8571428571428571
495,3,3,4,0.42857142857142855
496,3,7,0,1.0
497,3,6,1,0.8571428571428571
498,3,4,3,0.5714285714285714
499,3,3,4,0.42857142857142855
500,3,5,2,0.7142857142857143
501,3,5,2,0.7142857142857143
502,3,2,5,0.2857142857142857
503,3,4,3,0.5714285714285714
504,3,2,5,0.2857142857142857
505,3,2,5,0.2857142857142857
506,3,0,7,0.0
507,3,7,0,1.0
508,3,5,2,0.7142857142857143
509,3,0,7,0.0
510,3,5,2,0.7142857142857143
511,3,4,3,0.5714285714285714
512,3,3,4,0.42857142857142855
513,3,3,4,0.42857142857142855
514,3,2,5,0.2857142857142857
515,3,0,7,0.0
516,3,4,3,0.5714285714285714
517,3,6,1,0.8571428571428571
518,3,2,5,0.2857142857142857
519,3,3,4,0.42857142857142855
520,3,4,3,0.5714285714285714
521,3,0,7,0.0
522,3,4,3,0.5714285714285714
523,3,3,4,0.42857142857142855
524,3,1,6,0.14285714285714285
525,3,3,4,0.42857142857142855
526,3,4,3,0.5714285714285714
527,3,0,7,0.0
528,3,3,4,0.42857142857142855
529,3,7,0,1.0
530,3,6,1,0.8571428571428571
531,3,2,5,0.2857142857142857
532,3,4,3,0.5714285714285714
533,3,2,5,0.2857142857142857
534,3,0,7,0.0
535,3,7,0,1.0
536,3,1,6,0.14285714285714285
537,3,5,2,0.7142857142857143
538,3,7,0,1.0
539,3,0,7,0.0
540,3,5,2,0.7142857142857143
541,3,7,0,1.0
542,3,5,2,0.7142857142857143
543,3,0,7,0.0
544,3,5,2,0.7142857142857143
545,3,0,7,0.0
546,3,1,6,0.14285714285714285
547,3,2,5,0.2857142857142857
548,3,1,6,0.14285714285714285
549,3,0,7,0.0
550,3,1,6,0.14285714285714285
551,3,1,6,0.14285714285714285
552,3,2,5,0.2857142857142857
553,3,3,4,0.42857142857142855
554,3,1,6,0.14285714285714285
555,3,0,7,0.0
556,3,3,4,0.42857142857142855
557,3,3,4,0.42857142857142855
558,3,6,1,0.8571428571428571
559,3,0,7,0.0
560,3,1,6,0.14285714285714285
561,3,0,7,0.0
562,3,5,2,0.7142857142857143
563,3,2,5,0.2857142857142857
564,3,1,6,0.14285714285714285
565,3,4,3,0.5714285714285714
566,3,3,4,0.42857142857142855
567,3,0,7,0.0
568,3,0,7,0.0
569,3,2,5,0.2857142857142857
570,3,4,3,0.5714285714285714
571,3,0,7,0.0
572,3,6,1,0.8571428571428571
573,3,5,2,0.7142857142857143
574,3,0,7,0.0
575,3,2,5,0.2857142857142857
576,3,5,2,0.7142857142857143
577,3,7,0,1.0
578,3,0,7,0.0
579,3,2,5,0.2857142857142857
580,3,1,6,0.14285714285714285
581,3,4,3,0.5714285714285714
582,3,7,0,1.0
583,3,4,3,0.5714285714285714
584,3,2,5,0.2857142857142857
585,3,3,4,0.42857142857142855
586,3,6,1,0.8571428571428571
587,3,4,3,0.5714285714285714
588,3,5,2,0.7142857142857143
589,3,6,1,0.8571428571428571
590,3,0,7,0.0
591,3,0,7,0.0
592,3,4,3,0.5714285714285714
593,3,5,2,0.7142857142857143
594,3,0,7,0.0
595,3,0,7,0.0
596,3,1,6,0.14285714285714285
597,3,0,7,0.0
598,3,3,4,0.42857142857142855
599,3,4,3,0.5714285714285714
600,3,1,6,0.14285714285714285
601,3,7,0,1.0
602,3,0,7,0.0
603,3,7,0,1.0
604,3,6,1,0.8571428571428571
605,3,2,5,0.2857142857142857
606,3,7,0,1.0
607,3,3,4,0.42857142857142855
608,3,1,6,0.14285714285714285
609,3,0,7,0.0
610,3,6,1,0.8571428571428571
611,3,0,7,0.0
612,3,6,1,0.8571428571428571
613,3,4,3,0.5714285714285714
614,3,1,6,0.14285714285714285
615,3,0,7,0.0
616,3,5,2,0.7142857142857143
617,3,7,0,1.0
618,3,3,4,0.42857142857142855
619,3,0,7,0.0
620,3,2,5,0.2857142857142857
621,3,4,3,0.5714285714285714
622,3,1,6,0.14285714285714285
623,3,1,6,0.14285714285714285
624,3,5,2,0.7142857142857143
625,3,5,2,0.7142857142857143
626,3,5,2,0.7142857142857143
627,3,4,3,0.5714285714285714
628,3,4,3,0.5714285714285714
629,3,4,3,0.5714285714285714
630,3,7,0,1.0
631,3,6,1,0.8571428571428571
632,3,1,6,0.14285714285714285
633,3,5,2,0.7142857142857143
634,3,3,4,0.42857142857142855
635,3,1,6,0.14285714285714285
636,3,0,7,0.0
637,3,3,4,0.42857142857142855
638,3,7,0,1.0
639,3,7,0,1.0
640,3,0,7,0.0
641,3,5,2,0.7142857142857143
642,3,3,4,0.42857142857142855
643,3,7,0,1.0
644,3,2,5,0.2857142857142857
645,3,4,3,0.5714285714285714
646,3,1,6,0.14285714285714285
647,3,3,4,0.42857142857142855
648,3,7,0,1.0
649,3,6,1,0.8571428571428571
650,3,2,5,0.2857142857142857
651,3,7,0,1.0
652,3,0,7,0.0
653,3,6,1,0.8571428571428571
654,3,0,7,0.0
655,3,5,2,0.7142857142857143
656,3,0,7,0.0
657,3,4,3,0.5714285714285714
658,3,6,1,0.8571428571428571
659,3,2,5,0.2857142857142857
660,3,4,3,0.5714285714285714
661,3,0,7,0.0
662,3,3,4,0.42857142857142855
663,3,1,6,0.14285714285714285
664,3,7,0,1.0
665,3,0,7,0.0
666,3,4,3,0.5714285714285714
667,3,4,3,0.5714285714285714
668,3,3,4,0.42857142857142855
669,3,5,2,0.7142857142857143
670,3,2,5,0.2857142857142857
671,3,2,5,0.2857142857142857
672,3,0,7,0.0
673,3,7,0,1.0
674,3,4,3,0.5714285714285714
675,3,6,1,0.8571428571428571
676,3,3,4,0.42857142857142855
677,3,5,2,0.7142857142857143
678,3,4,3,0.5714285714285714
679,3,1,6,0.14285714285714285
680,3,0,7,0.0
681,3,3,4,0.42857142857142855
682,3,2,5,0.2857142857142857
683,3,4,3,0.5714285714285714
684,3,3,4,0.42857142857142855
685,3,2,5,0.2857142857142857
686,3,4,3,0.5714285714285714
687,3,7,0,1.0
688,3,7,0,1.0
689,3,2,5,0.2857142857142857
690,3,4,3,0.5714285714285714
691,3,5,2,0.7142857142857143
692,3,3,4,0.42857142857142855
693,3,2,5,0.2857142857142857
694,3,0,7,0.0
695,3,6,1,0.8571428571428571
696,3,4,3,0.5714285714285714
697,3,6,1,0.8571428571428571
698,3,1,6,0.14285714285714285
699,3,0,7,0.0
700,3,2,5,0.2857142857142857
701,3,4,3,0.5714285714285714
702,3,6,1,0.8571428571428571
703,3,6,1,0.8571428571428571
704,3,5,2,0.7142857142857143
705,3,1,6,0.14285714285714285
706,3,5,2,0.7142857142857143
707,3,7,0,1.0
708,3,5,2,0.7142857142857143
709,3,1,6,0.14285714285714285
710,3,7,0,1.0
711,3,3,4,0.42857142857142855
712,3,0,7,0.0
713,3,1,6,0.14285714285714285
714,3,3,4,0.42857142857142855
715,3,4,3,0.5714285714285714
716,3,1,6,0.14285714285714285
717,3,6,1,0.8571428571428571
718,3,6,1,0.8571428571428571
719,3,3,4,0.42857142857142855
720,3,6,1,0.8571428571428571
721,3,4,3,0.5714285714285714
722,3,6,1,0.8571428571428571
723,3,2,5,0.2857142857142857
724,3,2,5,0.2857142857142857
725,3,6,1,0.8571428571428571
726,3,0,7,0.0
727,3,0,7,0.0
728,3,2,5,0.2857142857142857
729,3,7,0,1.0
730,3,0,7,0.0
731,3,7,0,1.0
732,3,5,2,0.7142857142857143
733,3,3,4,0.42857142857142855
734,3,0,7,0.0
735,3,6,1,0.8571428571428571
736,3,3,4,0.42857142857142855
737,3,2,5,0.2857142857142857
738,3,5,2,0.7142857142857143
739,3,0,7,0.0
740,3,4,3,0.5714285714285714
741,3,7,0,1.0
742,3,0,7,0.0
743,3,4,3,0.5714285714285714
744,3,7,0,1.0
745,3,0,7,0.0
746,3,2,5,0.2857142857142857
747,3,0,7,0.0
748,3,3,4,0.42857142857142855
749,3,3,4,0.42857142857142855
750,3,0,7,0.0
751,3,1,6,0.14285714285714285
752,3,0,7,0.0
753,3,3,4,0.42857142857142855
754,3,0,7,0.0
755,3,3,4,0.42857142857142855
756,3,4,3,0.5714285714285714
757,3,3,4,0.42857142857142855
758,3,0,7,0.0
759,3,4,3,0.5714285714285714
760,3,2,5,0.2857142857142857
761,3,3,4,0.42857142857142855
762,3,0,7,0.0
763,3,7,0,1.0
764,3,6,1,0.8571428571428571
765,3,4,3,0.5714285714285714
766,3,2,5,0.2857142857142857
767,3,0,7,0.0
768,3,1,6,0.14285714285714285
769,3,4,3,0.5714285714285714
770,3,4,3,0.5714285714285714
771,3,3,4,0.42857142857142855
772,3,4,3,0.5714285714285714
773,3,3,4,0.42857142857142855
774,3,1,6,0.14285714285714285
775,3,0,7,0.0
776,3,7,0,1.0
777,3,1,6,0.14285714285714285
778,3,5,2,0.7142857142857143
779,3,7,0,1.0
780,3,7,0,1.0
781,3,4,3,0.5714285714285714
782,3,7,0,1.0
783,3,4,3,0.5714285714285714
784,3,1,6,0.14285714285714285
785,3,7,0,1.0
786,3,2,5,0.2857142857142857
787,3,0,7,0.0
788,3,4,3,0.5714285714285714
789,3,2,5,0.2857142857142857
790,3,4,3,0.5714285714285714
791,3,7,0,1.0
792,3,3,4,0.42857142857142855
793,3,0,7,0.0
794,3,5,2,0.7142857142857143
795,3,5,2,0.7142857142857143
796,3,1,6,0.14285714285714285
797,3,2,5,0.2857142857142857
798,3,2,5,0.2857142857142857
799,3,4,3,0.5714285714285714
800,3,6,1,0.8571428571428571
801,3,2,5,0.2857142857142857
802,3,2,5,0.2857142857142857
803,3,0,7,0.0
804,3,3,4,0.42857142857142855
805,3,6,1,0.8571428571428571
806,3,4,3,0.5714285714285714
807,3,3,4,0.42857142857142855
808,3,4,3,0.5714285714285714
809,3,0,7,0.0
810,3,5,2,0.7142857142857143
811,3,3,4,0.42857142857142855
812,3,7,0,1.0
813,3,0,7,0.0
814,3,7,0,1.0
815,3,4,3,0.5714285714285714
816,3,4,3,0.5714285714285714
817,3,7,0,1.0
818,3,2,5,0.2857142857142857
819,3,4,3,0.5714285714285714
820,3,6,1,0.8571428571428571
821,3,1,6,0.14285714285714285
822,3,6,1,0.8571428571428571
823,3,6,1,0.8571428571428571
824,3,3,4,0.42857142857142855
825,3,0,7,0.0
826,3,1,6,0.14285714285714285
827,3,1,6,0.14285714285714285
828,3,6,1,0.8571428571428571
829,3,6,1,0.8571428571428571
830,3,1,6,0.14285714285714285
831,3,4,3,0.5714285714285714
832,3,1,6,0.14285714285714285
833,3,1,6,0.14285714285714285
834,3,5,2,0.7142857142857143
835,3,2,5,0.2857142857142857
836,3,6,1,0.8571428571428571
837,3,0,7,0.0
838,3,2,5,0.2857142857142857
839,3,3,4,0.42857142857142855
840,3,2,5,0.2857142857142857
841,3,2,5,0.2857142857142857
842,3,0,7,0.0
843,3,5,2,0.7142857142857143
844,3,0,7,0.0
845,3,1,6,0.14285714285714285
846,3,2,5,0.2857142857142857
847,3,1,6,0.14285714285714285
848,3,7,0,1.0
849,3,3,4,0.42857142857142855
850,3,0,7,0.0
851,3,2,5,0.2857142857142857
852,3,3,4,0.42857142857142855
853,3,3,4,0.42857142857142855
854,3,0,7,0.0
855,3,5,2,0.7142857142857143
856,3,1,6,0.14285714285714285
857,3,4,3,0.5714285714285714
858,3,2,5,0.2857142857142857
859,3,7,0,1.0
860,3,7,0,1.0
861,3,5,2,0.7142857142857143
862,3,0,7,0.0
863,3,0,7,0.0
864,3,3,4,0.42857142857142855
865,3,3,4,0.42857142857142855
866,3,1,6,0.14285714285714285
867,3,2,5,0.2857142857142857
868,3,7,0,1.0
869,3,0,7,0.0
870,3,6,1,0.8571428571428571
871,3,2,5,0.2857142857142857
872,3,0,7,0.0
873,3,0,7,0.0
874,3,3,4,0.42857142857142855
875,3,3,4,0.42857142857142855
876,3,1,6,0.14285714285714285
877,3,2,5,0.2857142857142857
878,3,1,6,0.14285714285714285
879,3,1,6,0.14285714285714285
880,3,0,7,0.0
881,3,4,3,0.5714285714285714
882,3,5,2,0.7142857142857143
883,3,1,6,0.14285714285714285
884,3,6,1,0.8571428571428571
885,3,6,1,0.8571428571428571
886,3,0,7,0.0
887,3,7,0,1.0
888,3,0,7,0.0
889,3,4,3,0.5714285714285714
890,3,5,2,0.7142857142857143
891,3,2,5,0.2857142857142857
892,3,3,4,0.42857142857142855
893,3,1,6,0.14285714285714285
894,3,0,7,0.0
