iteration,mean_dist_failed_near_human,mean_dist_stylized,mean_dist_human_conventional,mean_dist_human_unconventional,mean_coh_failed_near_human,mean_coh_stylized,mean_coh_human_conventional,mean_coh_human_unconventional,diff_dist_unconventional_minus_conventional,diff_dist_failed_minus_conventional,diff_dist_failed_minus_unconventional,diff_coh_unconventional_minus_failed,diff_coh_conventional_minus_failed,diff_coh_unconventional_minus_conventional
0,23.949804306030273,27.79984474182129,19.45589828491211,25.25198745727539,-0.9403680901952517,0.05179439452671936,0.1821583796349739,0.21310168092236864,5.796089172363281,4.493906021118164,-1.3021831512451172,1.1534697711176203,1.1225264698302255,0.030943301287394753
1,25.964691162109375,28.910694122314453,21.36050796508789,26.14031982421875,-0.8977053545439543,0.1891908059457116,0.3526838980983809,0.09961252634807041,4.779811859130859,4.604183197021484,-0.175628662109375,0.9973178808920247,1.2503892526423352,-0.25307137175031047
2,25.053388595581055,27.329774856567383,20.410486221313477,26.672086715698242,-0.5407656023322646,0.194056358698217,-0.05359790101989028,0.1679143996359784,6.261600494384766,4.642902374267578,-1.6186981201171875,0.708680001968243,0.4871677013123743,0.2215123006558687
3,24.060199737548828,29.993253707885742,20.967073440551758,25.929977416992188,-0.6832036782023387,0.014229035502656131,-0.031000030001867764,0.11616099717712894,4.96290397644043,3.0931262969970703,-1.8697776794433594,0.7993646753794676,0.6522036482004709,0.1471610271789967
4,28.48577880859375,27.08943748474121,20.32246208190918,23.95890998840332,-1.0008558291892151,-0.3889109448514604,0.38419736551852035,0.21343352139689628,3.6364479064941406,8.16331672668457,4.52686882019043,1.2142893505861114,1.3850531947077354,-0.17076384412162407
5,23.43765640258789,28.115131378173828,19.918476104736328,26.70072364807129,-0.49363684650738787,0.38192222005564214,-0.10421067276475206,-0.2673101842696052,6.782247543334961,3.5191802978515625,-3.2630672454833984,0.2263266622377827,0.38942617374263583,-0.16309951150485313
6,24.874757766723633,26.00252342224121,20.6098575592041,24.04591941833496,-0.8540415009984516,0.14496673061564191,0.03314099459607293,-0.15454090914229418,3.4360618591308594,4.264900207519531,0.8288383483886719,0.6995005918561574,0.8871824955945244,-0.1876819037383671
7,23.376089096069336,28.17923927307129,20.95170783996582,27.12520980834961,-0.3713259057764728,0.004525142245283934,-0.20458046076038322,0.04353240368387561,6.173501968383789,2.4243812561035156,-3.7491207122802734,0.4148583094603484,0.16674544501608957,0.24811286444425884
8,27.32267189025879,28.619979858398438,20.761682510375977,26.17068099975586,-0.5887877834690691,-0.10686234349088251,0.1849578822944056,0.08403633751073733,5.408998489379883,6.5609893798828125,1.1519908905029297,0.6728241209798065,0.7737456657634747,-0.10092154478366827
9,25.279726028442383,29.92873191833496,21.05487060546875,24.790538787841797,-0.5133551836823951,-0.15724205200866478,-0.024039384989503785,-0.04473579223700887,3.735668182373047,4.224855422973633,0.48918724060058594,0.4686193914453862,0.48931579869289127,-0.020696407247505082
10,23.76898193359375,27.203622817993164,21.59090805053711,24.808048248291016,-0.616248827083786,-0.14075478662994084,0.29618630999252316,0.37966696131736705,3.2171401977539062,2.1780738830566406,-1.0390663146972656,0.9959157884011531,0.9124351370763092,0.08348065132484389
11,25.17348861694336,31.26666831970215,20.55331039428711,24.887134552001953,-0.6168615018463395,0.06938180524032413,0.20085173450153684,0.40929657541875175,4.333824157714844,4.62017822265625,0.28635406494140625,1.0261580772650913,0.8177132363478763,0.2084448409172149
12,23.65092658996582,25.70326042175293,20.334716796875,25.83439064025879,-0.607185657620655,0.3036234686332438,0.031549362837021824,0.5432117352362366,5.499673843383789,3.3162097930908203,-2.1834640502929688,1.1503973928568916,0.6387350204576768,0.5116623723992147
13,25.490022659301758,30.297779083251953,20.68306541442871,27.07513999938965,-0.7505281047538908,0.061498287784091575,-0.01467271610343284,0.4273066921181793,6.3920745849609375,4.806957244873047,-1.5851173400878906,1.17783479687207,0.735855388650458,0.44197940822161214
14,25.82817268371582,27.610692977905273,21.28860092163086,26.054275512695312,-0.6082090283123204,0.017274212454021894,0.007822026516964922,-0.06792960036556318,4.765674591064453,4.539571762084961,-0.2261028289794922,0.5402794279467572,0.6160310548292853,-0.07575162688252811
15,25.205699920654297,29.859601974487305,20.417251586914062,25.606088638305664,-0.5270729291394917,0.4630839154761359,0.07606909703427456,-0.24633282400287038,5.188837051391602,4.788448333740234,-0.4003887176513672,0.2807401051366213,0.6031420261737662,-0.32240192103714493
16,25.282257080078125,27.7816104888916,20.933269500732422,25.746259689331055,-0.8181167047118901,0.1337660618341226,-0.1401420307776557,0.1211958932854459,4.812990188598633,4.348987579345703,-0.4640026092529297,0.939312597997336,0.6779746739342345,0.2613379240631016
17,24.38393783569336,27.570627212524414,20.450456619262695,24.923370361328125,-0.5533198359459879,-0.1620151132285505,-0.36624183042379677,-0.11535403218977791,4.47291374206543,3.933481216430664,-0.5394325256347656,0.43796580375620997,0.18707800552219112,0.25088779823401886
18,23.81374740600586,29.354848861694336,20.223630905151367,26.623233795166016,-0.5644001954165156,0.4023725747673423,0.08360808024424125,0.5051303484561537,6.399602890014648,3.590116500854492,-2.8094863891601562,1.0695305438726694,0.6480082756607569,0.4215222682119124
19,26.343427658081055,26.46649742126465,19.93406867980957,24.01577377319336,-0.5870419205350819,0.3743944671591278,0.08834290354256923,0.3589188610316474,4.081705093383789,6.409358978271484,2.3276538848876953,0.9459607815667292,0.6753848240776511,0.27057595748907814
20,25.10049819946289,26.7120418548584,20.356992721557617,24.4140625,-0.676375970984713,0.09987361869506428,0.41002141498326017,0.18472182192307418,4.057069778442383,4.743505477905273,0.6864356994628906,0.8610977929077872,1.0863973859679732,-0.225299593060186
21,23.644180297851562,32.29348373413086,20.62943458557129,24.563005447387695,-0.10484739941773989,-0.6490717925065551,0.09657371105471713,0.07563173021693172,3.9335708618164062,3.0147457122802734,-0.9188251495361328,0.1804791296346716,0.20142111047245703,-0.02094198083778541
