iteration,kernel,C,pred_unconventional_count,pred_conventional_count,prop_pred_unconventional
152,linear,1.0,0,7,0.0
153,linear,1.0,2,5,0.2857142857142857
154,linear,1.0,1,6,0.14285714285714285
155,linear,1.0,2,5,0.2857142857142857
156,linear,1.0,5,2,0.7142857142857143
157,linear,1.0,0,7,0.0
158,linear,1.0,0,7,0.0
159,linear,1.0,3,4,0.42857142857142855
160,linear,1.0,5,2,0.7142857142857143
161,linear,1.0,1,6,0.14285714285714285
162,linear,1.0,4,3,0.5714285714285714
163,linear,1.0,1,6,0.14285714285714285
164,linear,1.0,4,3,0.5714285714285714
165,linear,1.0,2,5,0.2857142857142857
166,linear,1.0,0,7,0.0
167,linear,1.0,2,5,0.2857142857142857
168,linear,1.0,7,0,1.0
169,linear,1.0,0,7,0.0
170,linear,1.0,1,6,0.14285714285714285
171,linear,1.0,0,7,0.0
172,linear,1.0,0,7,0.0
173,linear,1.0,4,3,0.5714285714285714
174,linear,1.0,3,4,0.42857142857142855
175,linear,1.0,3,4,0.42857142857142855
176,linear,1.0,1,6,0.14285714285714285
177,linear,1.0,1,6,0.14285714285714285
178,linear,1.0,6,1,0.8571428571428571
179,linear,1.0,2,5,0.2857142857142857
180,linear,1.0,1,6,0.14285714285714285
181,linear,1.0,1,6,0.14285714285714285
182,linear,1.0,5,2,0.7142857142857143
183,linear,1.0,1,6,0.14285714285714285
184,linear,1.0,0,7,0.0
185,linear,1.0,5,2,0.7142857142857143
186,linear,1.0,1,6,0.14285714285714285
187,linear,1.0,7,0,1.0
188,linear,1.0,2,5,0.2857142857142857
189,linear,1.0,1,6,0.14285714285714285
190,linear,1.0,2,5,0.2857142857142857
191,linear,1.0,0,7,0.0
192,linear,1.0,0,7,0.0
193,linear,1.0,2,5,0.2857142857142857
194,linear,1.0,1,6,0.14285714285714285
195,linear,1.0,3,4,0.42857142857142855
196,linear,1.0,2,5,0.2857142857142857
197,linear,1.0,0,7,0.0
198,linear,1.0,0,7,0.0
199,linear,1.0,3,4,0.42857142857142855
200,linear,1.0,0,7,0.0
201,linear,1.0,3,4,0.42857142857142855
202,linear,1.0,0,7,0.0
203,linear,1.0,6,1,0.8571428571428571
204,linear,1.0,7,0,1.0
205,linear,1.0,0,7,0.0
206,linear,1.0,1,6,0.14285714285714285
207,linear,1.0,4,3,0.5714285714285714
208,linear,1.0,0,7,0.0
209,linear,1.0,1,6,0.14285714285714285
210,linear,1.0,4,3,0.5714285714285714
211,linear,1.0,3,4,0.42857142857142855
212,linear,1.0,0,7,0.0
213,linear,1.0,7,0,1.0
214,linear,1.0,2,5,0.2857142857142857
215,linear,1.0,0,7,0.0
216,linear,1.0,3,4,0.42857142857142855
217,linear,1.0,2,5,0.2857142857142857
218,linear,1.0,2,5,0.2857142857142857
219,linear,1.0,4,3,0.5714285714285714
220,linear,1.0,0,7,0.0
221,linear,1.0,3,4,0.42857142857142855
222,linear,1.0,1,6,0.14285714285714285
223,linear,1.0,2,5,0.2857142857142857
224,linear,1.0,7,0,1.0
225,linear,1.0,0,7,0.0
226,linear,1.0,0,7,0.0
227,linear,1.0,3,4,0.42857142857142855
228,linear,1.0,2,5,0.2857142857142857
229,linear,1.0,4,3,0.5714285714285714
230,linear,1.0,0,7,0.0
231,linear,1.0,1,6,0.14285714285714285
232,linear,1.0,1,6,0.14285714285714285
233,linear,1.0,1,6,0.14285714285714285
234,linear,1.0,2,5,0.2857142857142857
235,linear,1.0,2,5,0.2857142857142857
236,linear,1.0,0,7,0.0
237,linear,1.0,7,0,1.0
238,linear,1.0,0,7,0.0
239,linear,1.0,3,4,0.42857142857142855
240,linear,1.0,1,6,0.14285714285714285
241,linear,1.0,1,6,0.14285714285714285
242,linear,1.0,5,2,0.7142857142857143
243,linear,1.0,2,5,0.2857142857142857
244,linear,1.0,3,4,0.42857142857142855
245,linear,1.0,3,4,0.42857142857142855
246,linear,1.0,3,4,0.42857142857142855
247,linear,1.0,0,7,0.0
248,linear,1.0,6,1,0.8571428571428571
249,linear,1.0,0,7,0.0
250,linear,1.0,0,7,0.0
251,linear,1.0,2,5,0.2857142857142857
252,linear,1.0,1,6,0.14285714285714285
253,linear,1.0,0,7,0.0
254,linear,1.0,4,3,0.5714285714285714
255,linear,1.0,1,6,0.14285714285714285
256,linear,1.0,3,4,0.42857142857142855
257,linear,1.0,0,7,0.0
258,linear,1.0,4,3,0.5714285714285714
259,linear,1.0,2,5,0.2857142857142857
260,linear,1.0,0,7,0.0
261,linear,1.0,0,7,0.0
262,linear,1.0,4,3,0.5714285714285714
263,linear,1.0,3,4,0.42857142857142855
264,linear,1.0,6,1,0.8571428571428571
265,linear,1.0,4,3,0.5714285714285714
266,linear,1.0,3,4,0.42857142857142855
267,linear,1.0,5,2,0.7142857142857143
268,linear,1.0,0,7,0.0
269,linear,1.0,3,4,0.42857142857142855
270,linear,1.0,0,7,0.0
271,linear,1.0,0,7,0.0
272,linear,1.0,2,5,0.2857142857142857
273,linear,1.0,4,3,0.5714285714285714
274,linear,1.0,1,6,0.14285714285714285
275,linear,1.0,3,4,0.42857142857142855
276,linear,1.0,1,6,0.14285714285714285
277,linear,1.0,4,3,0.5714285714285714
278,linear,1.0,0,7,0.0
279,linear,1.0,2,5,0.2857142857142857
280,linear,1.0,0,7,0.0
281,linear,1.0,0,7,0.0
282,linear,1.0,0,7,0.0
283,linear,1.0,2,5,0.2857142857142857
284,linear,1.0,0,7,0.0
285,linear,1.0,2,5,0.2857142857142857
286,linear,1.0,3,4,0.42857142857142855
287,linear,1.0,2,5,0.2857142857142857
288,linear,1.0,3,4,0.42857142857142855
289,linear,1.0,0,7,0.0
290,linear,1.0,0,7,0.0
291,linear,1.0,3,4,0.42857142857142855
292,linear,1.0,6,1,0.8571428571428571
293,linear,1.0,3,4,0.42857142857142855
294,linear,1.0,2,5,0.2857142857142857
295,linear,1.0,2,5,0.2857142857142857
296,linear,1.0,4,3,0.5714285714285714
297,linear,1.0,1,6,0.14285714285714285
298,linear,1.0,0,7,0.0
299,linear,1.0,1,6,0.14285714285714285
300,linear,1.0,3,4,0.42857142857142855
301,linear,1.0,0,7,0.0
302,linear,1.0,0,7,0.0
303,linear,1.0,3,4,0.42857142857142855
304,linear,1.0,2,5,0.2857142857142857
305,linear,1.0,1,6,0.14285714285714285
306,linear,1.0,1,6,0.14285714285714285
307,linear,1.0,2,5,0.2857142857142857
308,linear,1.0,5,2,0.7142857142857143
309,linear,1.0,1,6,0.14285714285714285
310,linear,1.0,4,3,0.5714285714285714
311,linear,1.0,3,4,0.42857142857142855
312,linear,1.0,3,4,0.42857142857142855
313,linear,1.0,1,6,0.14285714285714285
314,linear,1.0,1,6,0.14285714285714285
315,linear,1.0,1,6,0.14285714285714285
316,linear,1.0,0,7,0.0
317,linear,1.0,1,6,0.14285714285714285
318,linear,1.0,4,3,0.5714285714285714
319,linear,1.0,4,3,0.5714285714285714
320,linear,1.0,0,7,0.0
321,linear,1.0,0,7,0.0
322,linear,1.0,5,2,0.7142857142857143
323,linear,1.0,2,5,0.2857142857142857
324,linear,1.0,1,6,0.14285714285714285
325,linear,1.0,2,5,0.2857142857142857
326,linear,1.0,3,4,0.42857142857142855
327,linear,1.0,2,5,0.2857142857142857
328,linear,1.0,0,7,0.0
329,linear,1.0,0,7,0.0
330,linear,1.0,0,7,0.0
331,linear,1.0,1,6,0.14285714285714285
332,linear,1.0,3,4,0.42857142857142855
333,linear,1.0,3,4,0.42857142857142855
334,linear,1.0,0,7,0.0
335,linear,1.0,1,6,0.14285714285714285
336,linear,1.0,4,3,0.5714285714285714
337,linear,1.0,2,5,0.2857142857142857
338,linear,1.0,2,5,0.2857142857142857
339,linear,1.0,2,5,0.2857142857142857
340,linear,1.0,4,3,0.5714285714285714
341,linear,1.0,3,4,0.42857142857142855
342,linear,1.0,0,7,0.0
343,linear,1.0,0,7,0.0
344,linear,1.0,3,4,0.42857142857142855
345,linear,1.0,2,5,0.2857142857142857
346,linear,1.0,3,4,0.42857142857142855
347,linear,1.0,2,5,0.2857142857142857
348,linear,1.0,5,2,0.7142857142857143
349,linear,1.0,0,7,0.0
350,linear,1.0,1,6,0.14285714285714285
351,linear,1.0,1,6,0.14285714285714285
352,linear,1.0,1,6,0.14285714285714285
353,linear,1.0,3,4,0.42857142857142855
354,linear,1.0,6,1,0.8571428571428571
355,linear,1.0,3,4,0.42857142857142855
356,linear,1.0,2,5,0.2857142857142857
357,linear,1.0,6,1,0.8571428571428571
358,linear,1.0,4,3,0.5714285714285714
359,linear,1.0,4,3,0.5714285714285714
360,linear,1.0,1,6,0.14285714285714285
361,linear,1.0,6,1,0.8571428571428571
362,linear,1.0,2,5,0.2857142857142857
363,linear,1.0,5,2,0.7142857142857143
364,linear,1.0,5,2,0.7142857142857143
365,linear,1.0,3,4,0.42857142857142855
366,linear,1.0,1,6,0.14285714285714285
367,linear,1.0,3,4,0.42857142857142855
368,linear,1.0,2,5,0.2857142857142857
369,linear,1.0,2,5,0.2857142857142857
370,linear,1.0,0,7,0.0
371,linear,1.0,4,3,0.5714285714285714
372,linear,1.0,2,5,0.2857142857142857
373,linear,1.0,1,6,0.14285714285714285
374,linear,1.0,0,7,0.0
375,linear,1.0,3,4,0.42857142857142855
376,linear,1.0,2,5,0.2857142857142857
377,linear,1.0,2,5,0.2857142857142857
378,linear,1.0,1,6,0.14285714285714285
379,linear,1.0,2,5,0.2857142857142857
380,linear,1.0,1,6,0.14285714285714285
381,linear,1.0,3,4,0.42857142857142855
382,linear,1.0,4,3,0.5714285714285714
383,linear,1.0,4,3,0.5714285714285714
384,linear,1.0,1,6,0.14285714285714285
385,linear,1.0,0,7,0.0
386,linear,1.0,5,2,0.7142857142857143
387,linear,1.0,2,5,0.2857142857142857
388,linear,1.0,3,4,0.42857142857142855
389,linear,1.0,2,5,0.2857142857142857
390,linear,1.0,4,3,0.5714285714285714
391,linear,1.0,3,4,0.42857142857142855
392,linear,1.0,2,5,0.2857142857142857
393,linear,1.0,1,6,0.14285714285714285
394,linear,1.0,0,7,0.0
395,linear,1.0,4,3,0.5714285714285714
396,linear,1.0,2,5,0.2857142857142857
397,linear,1.0,2,5,0.2857142857142857
398,linear,1.0,1,6,0.14285714285714285
399,linear,1.0,4,3,0.5714285714285714
400,linear,1.0,2,5,0.2857142857142857
401,linear,1.0,6,1,0.8571428571428571
402,linear,1.0,0,7,0.0
403,linear,1.0,3,4,0.42857142857142855
404,linear,1.0,2,5,0.2857142857142857
405,linear,1.0,1,6,0.14285714285714285
406,linear,1.0,6,1,0.8571428571428571
407,linear,1.0,1,6,0.14285714285714285
408,linear,1.0,0,7,0.0
409,linear,1.0,0,7,0.0
410,linear,1.0,0,7,0.0
411,linear,1.0,4,3,0.5714285714285714
412,linear,1.0,0,7,0.0
413,linear,1.0,0,7,0.0
414,linear,1.0,0,7,0.0
415,linear,1.0,1,6,0.14285714285714285
416,linear,1.0,6,1,0.8571428571428571
417,linear,1.0,5,2,0.7142857142857143
418,linear,1.0,2,5,0.2857142857142857
419,linear,1.0,2,5,0.2857142857142857
420,linear,1.0,0,7,0.0
421,linear,1.0,1,6,0.14285714285714285
422,linear,1.0,3,4,0.42857142857142855
423,linear,1.0,3,4,0.42857142857142855
424,linear,1.0,2,5,0.2857142857142857
425,linear,1.0,2,5,0.2857142857142857
426,linear,1.0,0,7,0.0
427,linear,1.0,3,4,0.42857142857142855
428,linear,1.0,1,6,0.14285714285714285
429,linear,1.0,3,4,0.42857142857142855
430,linear,1.0,1,6,0.14285714285714285
431,linear,1.0,1,6,0.14285714285714285
432,linear,1.0,2,5,0.2857142857142857
433,linear,1.0,0,7,0.0
434,linear,1.0,4,3,0.5714285714285714
435,linear,1.0,0,7,0.0
436,linear,1.0,1,6,0.14285714285714285
437,linear,1.0,6,1,0.8571428571428571
438,linear,1.0,4,3,0.5714285714285714
439,linear,1.0,3,4,0.42857142857142855
440,linear,1.0,0,7,0.0
441,linear,1.0,2,5,0.2857142857142857
442,linear,1.0,2,5,0.2857142857142857
443,linear,1.0,1,6,0.14285714285714285
444,linear,1.0,0,7,0.0
445,linear,1.0,0,7,0.0
446,linear,1.0,5,2,0.7142857142857143
447,linear,1.0,1,6,0.14285714285714285
448,linear,1.0,4,3,0.5714285714285714
449,linear,1.0,2,5,0.2857142857142857
450,linear,1.0,0,7,0.0
451,linear,1.0,2,5,0.2857142857142857
452,linear,1.0,2,5,0.2857142857142857
453,linear,1.0,3,4,0.42857142857142855
454,linear,1.0,1,6,0.14285714285714285
455,linear,1.0,2,5,0.2857142857142857
456,linear,1.0,6,1,0.8571428571428571
457,linear,1.0,0,7,0.0
458,linear,1.0,7,0,1.0
459,linear,1.0,0,7,0.0
460,linear,1.0,0,7,0.0
461,linear,1.0,3,4,0.42857142857142855
462,linear,1.0,2,5,0.2857142857142857
463,linear,1.0,4,3,0.5714285714285714
464,linear,1.0,0,7,0.0
465,linear,1.0,0,7,0.0
466,linear,1.0,0,7,0.0
467,linear,1.0,1,6,0.14285714285714285
468,linear,1.0,0,7,0.0
469,linear,1.0,2,5,0.2857142857142857
470,linear,1.0,1,6,0.14285714285714285
471,linear,1.0,0,7,0.0
472,linear,1.0,1,6,0.14285714285714285
473,linear,1.0,4,3,0.5714285714285714
474,linear,1.0,0,7,0.0
475,linear,1.0,0,7,0.0
476,linear,1.0,0,7,0.0
477,linear,1.0,2,5,0.2857142857142857
478,linear,1.0,1,6,0.14285714285714285
479,linear,1.0,6,1,0.8571428571428571
480,linear,1.0,1,6,0.14285714285714285
481,linear,1.0,0,7,0.0
482,linear,1.0,4,3,0.5714285714285714
483,linear,1.0,1,6,0.14285714285714285
484,linear,1.0,5,2,0.7142857142857143
485,linear,1.0,0,7,0.0
486,linear,1.0,1,6,0.14285714285714285
487,linear,1.0,4,3,0.5714285714285714
488,linear,1.0,5,2,0.7142857142857143
489,linear,1.0,0,7,0.0
490,linear,1.0,2,5,0.2857142857142857
491,linear,1.0,2,5,0.2857142857142857
492,linear,1.0,1,6,0.14285714285714285
493,linear,1.0,3,4,0.42857142857142855
494,linear,1.0,1,6,0.14285714285714285
495,linear,1.0,2,5,0.2857142857142857
496,linear,1.0,7,0,1.0
497,linear,1.0,0,7,0.0
498,linear,1.0,4,3,0.5714285714285714
499,linear,1.0,6,1,0.8571428571428571
500,linear,1.0,4,3,0.5714285714285714
501,linear,1.0,0,7,0.0
502,linear,1.0,2,5,0.2857142857142857
503,linear,1.0,2,5,0.2857142857142857
504,linear,1.0,1,6,0.14285714285714285
505,linear,1.0,0,7,0.0
506,linear,1.0,3,4,0.42857142857142855
507,linear,1.0,2,5,0.2857142857142857
508,linear,1.0,1,6,0.14285714285714285
509,linear,1.0,0,7,0.0
510,linear,1.0,3,4,0.42857142857142855
511,linear,1.0,4,3,0.5714285714285714
512,linear,1.0,6,1,0.8571428571428571
513,linear,1.0,2,5,0.2857142857142857
514,linear,1.0,1,6,0.14285714285714285
515,linear,1.0,0,7,0.0
516,linear,1.0,4,3,0.5714285714285714
517,linear,1.0,1,6,0.14285714285714285
518,linear,1.0,2,5,0.2857142857142857
519,linear,1.0,3,4,0.42857142857142855
520,linear,1.0,0,7,0.0
521,linear,1.0,1,6,0.14285714285714285
522,linear,1.0,2,5,0.2857142857142857
523,linear,1.0,4,3,0.5714285714285714
524,linear,1.0,2,5,0.2857142857142857
525,linear,1.0,3,4,0.42857142857142855
526,linear,1.0,0,7,0.0
527,linear,1.0,0,7,0.0
528,linear,1.0,3,4,0.42857142857142855
529,linear,1.0,3,4,0.42857142857142855
530,linear,1.0,2,5,0.2857142857142857
531,linear,1.0,2,5,0.2857142857142857
532,linear,1.0,1,6,0.14285714285714285
533,linear,1.0,2,5,0.2857142857142857
534,linear,1.0,0,7,0.0
535,linear,1.0,0,7,0.0
536,linear,1.0,0,7,0.0
537,linear,1.0,4,3,0.5714285714285714
538,linear,1.0,7,0,1.0
539,linear,1.0,5,2,0.7142857142857143
540,linear,1.0,4,3,0.5714285714285714
541,linear,1.0,2,5,0.2857142857142857
542,linear,1.0,2,5,0.2857142857142857
543,linear,1.0,3,4,0.42857142857142855
544,linear,1.0,1,6,0.14285714285714285
545,linear,1.0,3,4,0.42857142857142855
546,linear,1.0,0,7,0.0
547,linear,1.0,1,6,0.14285714285714285
548,linear,1.0,2,5,0.2857142857142857
549,linear,1.0,0,7,0.0
550,linear,1.0,0,7,0.0
551,linear,1.0,3,4,0.42857142857142855
552,linear,1.0,2,5,0.2857142857142857
553,linear,1.0,1,6,0.14285714285714285
554,linear,1.0,2,5,0.2857142857142857
555,linear,1.0,4,3,0.5714285714285714
556,linear,1.0,3,4,0.42857142857142855
557,linear,1.0,2,5,0.2857142857142857
558,linear,1.0,2,5,0.2857142857142857
559,linear,1.0,0,7,0.0
560,linear,1.0,3,4,0.42857142857142855
561,linear,1.0,2,5,0.2857142857142857
562,linear,1.0,0,7,0.0
563,linear,1.0,2,5,0.2857142857142857
564,linear,1.0,3,4,0.42857142857142855
565,linear,1.0,7,0,1.0
566,linear,1.0,1,6,0.14285714285714285
567,linear,1.0,3,4,0.42857142857142855
568,linear,1.0,2,5,0.2857142857142857
569,linear,1.0,1,6,0.14285714285714285
570,linear,1.0,1,6,0.14285714285714285
571,linear,1.0,0,7,0.0
572,linear,1.0,3,4,0.42857142857142855
573,linear,1.0,5,2,0.7142857142857143
574,linear,1.0,0,7,0.0
575,linear,1.0,2,5,0.2857142857142857
576,linear,1.0,5,2,0.7142857142857143
577,linear,1.0,1,6,0.14285714285714285
578,linear,1.0,0,7,0.0
579,linear,1.0,2,5,0.2857142857142857
580,linear,1.0,0,7,0.0
581,linear,1.0,4,3,0.5714285714285714
582,linear,1.0,4,3,0.5714285714285714
583,linear,1.0,2,5,0.2857142857142857
584,linear,1.0,3,4,0.42857142857142855
585,linear,1.0,4,3,0.5714285714285714
586,linear,1.0,2,5,0.2857142857142857
587,linear,1.0,1,6,0.14285714285714285
588,linear,1.0,1,6,0.14285714285714285
589,linear,1.0,0,7,0.0
590,linear,1.0,2,5,0.2857142857142857
591,linear,1.0,3,4,0.42857142857142855
592,linear,1.0,1,6,0.14285714285714285
593,linear,1.0,3,4,0.42857142857142855
594,linear,1.0,1,6,0.14285714285714285
595,linear,1.0,2,5,0.2857142857142857
596,linear,1.0,0,7,0.0
597,linear,1.0,0,7,0.0
598,linear,1.0,2,5,0.2857142857142857
599,linear,1.0,0,7,0.0
600,linear,1.0,4,3,0.5714285714285714
601,linear,1.0,7,0,1.0
602,linear,1.0,0,7,0.0
603,linear,1.0,0,7,0.0
604,linear,1.0,2,5,0.2857142857142857
605,linear,1.0,0,7,0.0
606,linear,1.0,7,0,1.0
607,linear,1.0,0,7,0.0
608,linear,1.0,4,3,0.5714285714285714
609,linear,1.0,0,7,0.0
610,linear,1.0,2,5,0.2857142857142857
611,linear,1.0,3,4,0.42857142857142855
612,linear,1.0,4,3,0.5714285714285714
613,linear,1.0,5,2,0.7142857142857143
614,linear,1.0,0,7,0.0
615,linear,1.0,0,7,0.0
616,linear,1.0,4,3,0.5714285714285714
617,linear,1.0,7,0,1.0
618,linear,1.0,2,5,0.2857142857142857
619,linear,1.0,0,7,0.0
620,linear,1.0,0,7,0.0
621,linear,1.0,2,5,0.2857142857142857
622,linear,1.0,2,5,0.2857142857142857
623,linear,1.0,3,4,0.42857142857142855
624,linear,1.0,5,2,0.7142857142857143
625,linear,1.0,3,4,0.42857142857142855
626,linear,1.0,1,6,0.14285714285714285
627,linear,1.0,1,6,0.14285714285714285
628,linear,1.0,0,7,0.0
629,linear,1.0,2,5,0.2857142857142857
630,linear,1.0,0,7,0.0
631,linear,1.0,1,6,0.14285714285714285
632,linear,1.0,0,7,0.0
633,linear,1.0,5,2,0.7142857142857143
634,linear,1.0,1,6,0.14285714285714285
635,linear,1.0,1,6,0.14285714285714285
636,linear,1.0,1,6,0.14285714285714285
637,linear,1.0,1,6,0.14285714285714285
638,linear,1.0,7,0,1.0
639,linear,1.0,0,7,0.0
640,linear,1.0,0,7,0.0
641,linear,1.0,4,3,0.5714285714285714
642,linear,1.0,2,5,0.2857142857142857
643,linear,1.0,1,6,0.14285714285714285
644,linear,1.0,2,5,0.2857142857142857
645,linear,1.0,3,4,0.42857142857142855
646,linear,1.0,4,3,0.5714285714285714
647,linear,1.0,3,4,0.42857142857142855
648,linear,1.0,1,6,0.14285714285714285
649,linear,1.0,5,2,0.7142857142857143
650,linear,1.0,1,6,0.14285714285714285
651,linear,1.0,6,1,0.8571428571428571
652,linear,1.0,0,7,0.0
653,linear,1.0,2,5,0.2857142857142857
654,linear,1.0,2,5,0.2857142857142857
655,linear,1.0,1,6,0.14285714285714285
656,linear,1.0,1,6,0.14285714285714285
657,linear,1.0,0,7,0.0
658,linear,1.0,1,6,0.14285714285714285
659,linear,1.0,2,5,0.2857142857142857
660,linear,1.0,4,3,0.5714285714285714
661,linear,1.0,2,5,0.2857142857142857
662,linear,1.0,3,4,0.42857142857142855
663,linear,1.0,0,7,0.0
664,linear,1.0,0,7,0.0
665,linear,1.0,0,7,0.0
666,linear,1.0,0,7,0.0
667,linear,1.0,1,6,0.14285714285714285
668,linear,1.0,0,7,0.0
669,linear,1.0,0,7,0.0
670,linear,1.0,1,6,0.14285714285714285
671,linear,1.0,4,3,0.5714285714285714
672,linear,1.0,0,7,0.0
