iteration,mean_nearest_dist_to_failed,mean_nearest_dist_to_unconv,mean_delta_failed_minus_unconv,prop_closer_to_failed,prop_closer_to_unconv
0,29.76138,29.878023,-0.11664554,0.5714285714285714,0.42857142857142855
1,30.451794,31.267681,-0.81588775,0.8571428571428571,0.14285714285714285
2,29.813372,29.374775,0.4385981,0.2857142857142857,0.7142857142857143
3,30.603252,31.321201,-0.71794593,0.5714285714285714,0.42857142857142855
4,30.615576,28.631205,1.9843758,0.14285714285714285,0.8571428571428571
5,29.608557,30.70331,-1.0947511,0.8571428571428571,0.14285714285714285
6,31.427996,29.145685,2.2823117,0.0,1.0
7,29.429976,30.175375,-0.74539864,0.8571428571428571,0.14285714285714285
8,31.114614,29.97504,1.1395721,0.14285714285714285,0.8571428571428571
9,32.08226,29.485495,2.5967658,0.0,1.0
10,30.585627,30.855804,-0.27018028,0.7142857142857143,0.2857142857142857
11,30.568985,30.229939,0.33904484,0.2857142857142857,0.7142857142857143
12,30.110622,29.885206,0.22541454,0.42857142857142855,0.5714285714285714
13,30.344141,30.329195,0.014944349,0.42857142857142855,0.5714285714285714
14,31.086462,30.212145,0.87431824,0.14285714285714285,0.8571428571428571
15,29.5534,29.279272,0.27412415,0.2857142857142857,0.7142857142857143
16,29.425816,30.947327,-1.5215094,1.0,0.0
17,30.768772,28.5893,2.1794734,0.0,1.0
18,29.237364,28.973942,0.26342282,0.42857142857142855,0.5714285714285714
19,29.336239,29.06306,0.27317864,0.42857142857142855,0.5714285714285714
20,30.069386,29.535267,0.5341192,0.2857142857142857,0.7142857142857143
21,30.221018,30.312729,-0.09171241,0.5714285714285714,0.42857142857142855
22,29.939894,29.79863,0.14126396,0.42857142857142855,0.5714285714285714
23,30.168299,29.247873,0.9204219,0.14285714285714285,0.8571428571428571
24,30.091427,28.566633,1.5247942,0.14285714285714285,0.8571428571428571
25,31.485403,30.353151,1.1322523,0.14285714285714285,0.8571428571428571
26,29.398752,29.20344,0.1953125,0.5714285714285714,0.42857142857142855
27,29.883774,31.014254,-1.1304823,1.0,0.0
28,30.197283,29.043066,1.1542181,0.14285714285714285,0.8571428571428571
29,30.226748,31.079,-0.85225105,0.7142857142857143,0.2857142857142857
30,30.160494,31.296131,-1.1356364,0.8571428571428571,0.14285714285714285
31,30.406897,29.781782,0.6251174,0.2857142857142857,0.7142857142857143
32,30.64808,28.522614,2.1254652,0.0,1.0
33,29.110165,29.009565,0.10060092,0.42857142857142855,0.5714285714285714
34,28.818674,27.976313,0.84235954,0.14285714285714285,0.8571428571428571
35,30.736979,28.66818,2.0687983,0.0,1.0
36,30.652266,30.267626,0.38463974,0.2857142857142857,0.7142857142857143
37,29.488764,33.036865,-3.5481029,1.0,0.0
38,29.778225,29.194967,0.58325607,0.2857142857142857,0.7142857142857143
39,30.940283,29.23258,1.7077032,0.0,1.0
40,30.375881,29.426147,0.9497343,0.2857142857142857,0.7142857142857143
41,29.554087,29.831715,-0.27762958,0.5714285714285714,0.42857142857142855
42,29.584972,29.3537,0.23127092,0.5714285714285714,0.42857142857142855
43,29.716488,29.768595,-0.0521104,0.5714285714285714,0.42857142857142855
44,29.709547,29.224726,0.48481888,0.2857142857142857,0.7142857142857143
45,29.487593,29.722843,-0.23524912,0.5714285714285714,0.42857142857142855
46,29.155361,29.517546,-0.36218616,0.5714285714285714,0.42857142857142855
47,29.5132,29.146488,0.36671394,0.42857142857142855,0.5714285714285714
48,30.027466,29.004795,1.0226724,0.14285714285714285,0.8571428571428571
49,29.83526,29.436085,0.3991751,0.42857142857142855,0.5714285714285714
50,30.337772,27.980154,2.3576195,0.0,1.0
51,30.349201,29.426405,0.9227976,0.14285714285714285,0.8571428571428571
52,30.47078,31.091793,-0.6210131,0.7142857142857143,0.2857142857142857
53,29.892836,31.229483,-1.3366495,0.7142857142857143,0.2857142857142857
54,30.281921,30.279205,0.0027187893,0.42857142857142855,0.5714285714285714
55,29.786966,28.352057,1.434909,0.0,1.0
56,29.937662,30.379946,-0.44228745,0.7142857142857143,0.2857142857142857
57,30.180952,28.893198,1.2877551,0.0,1.0
58,30.53251,29.81506,0.71745193,0.2857142857142857,0.7142857142857143
59,30.503994,28.947153,1.5568417,0.0,1.0
60,30.219517,30.396597,-0.17708342,0.42857142857142855,0.5714285714285714
61,29.300243,29.211182,0.08906065,0.2857142857142857,0.7142857142857143
62,30.066906,28.439728,1.6271774,0.14285714285714285,0.8571428571428571
63,29.910322,28.914318,0.99600494,0.0,1.0
64,29.597672,29.909695,-0.312021,0.7142857142857143,0.2857142857142857
65,30.507158,29.738316,0.768843,0.2857142857142857,0.7142857142857143
66,30.169443,29.529919,0.6395286,0.2857142857142857,0.7142857142857143
67,30.948658,30.186365,0.7622934,0.2857142857142857,0.7142857142857143
68,28.850065,28.66282,0.18724033,0.14285714285714285,0.8571428571428571
69,28.906528,28.101162,0.805366,0.0,1.0
70,29.863596,30.518595,-0.6549977,0.5714285714285714,0.42857142857142855
71,30.177967,31.08228,-0.9043097,0.8571428571428571,0.14285714285714285
72,31.043077,30.528177,0.5149037,0.2857142857142857,0.7142857142857143
73,30.049078,29.384104,0.6649753,0.2857142857142857,0.7142857142857143
74,29.79337,30.958906,-1.1655369,0.8571428571428571,0.14285714285714285
75,30.375696,28.892355,1.4833387,0.14285714285714285,0.8571428571428571
76,29.926619,30.198132,-0.27151218,0.7142857142857143,0.2857142857142857
77,29.980305,29.186716,0.7935914,0.14285714285714285,0.8571428571428571
78,29.468231,30.54742,-1.0791876,0.8571428571428571,0.14285714285714285
79,29.900452,28.574045,1.3264076,0.14285714285714285,0.8571428571428571
80,30.653605,29.88512,0.76848274,0.14285714285714285,0.8571428571428571
81,29.304098,31.111359,-1.8072592,1.0,0.0
82,30.230656,29.97302,0.25763512,0.2857142857142857,0.7142857142857143
83,30.599657,30.16136,0.43829674,0.42857142857142855,0.5714285714285714
84,29.915773,29.07903,0.8367435,0.2857142857142857,0.7142857142857143
85,29.620213,29.187344,0.43287277,0.42857142857142855,0.5714285714285714
86,30.053438,29.176668,0.8767716,0.14285714285714285,0.8571428571428571
87,31.720568,29.295322,2.4252436,0.0,1.0
88,30.334929,29.91,0.42492947,0.42857142857142855,0.5714285714285714
89,29.161234,29.21124,-0.050007682,0.42857142857142855,0.5714285714285714
90,29.363287,28.407072,0.9562165,0.42857142857142855,0.5714285714285714
91,29.503054,31.03477,-1.531711,1.0,0.0
92,29.752605,28.7399,1.0127043,0.2857142857142857,0.7142857142857143
93,28.634542,27.741512,0.8930318,0.42857142857142855,0.5714285714285714
94,28.948214,27.36795,1.5802634,0.14285714285714285,0.8571428571428571
95,29.921707,28.473398,1.44831,0.14285714285714285,0.8571428571428571
96,29.964512,29.584644,0.37987056,0.2857142857142857,0.7142857142857143
97,30.97388,29.853853,1.120027,0.0,1.0
98,30.40378,29.781778,0.62200195,0.14285714285714285,0.8571428571428571
