iteration,mean_dist_to_failed,mean_dist_to_unconv,mean_delta_failed_minus_unconv,prop_closer_to_failed,prop_closer_to_unconv
87,26.548819,25.019718,1.5290991,0.0,1.0
88,24.93375,26.322947,-1.3891934,1.0,0.0
89,24.679142,24.173105,0.50603646,0.42857142857142855,0.5714285714285714
90,24.67136,23.801195,0.87016624,0.14285714285714285,0.8571428571428571
91,25.07098,25.48181,-0.41083091,0.7142857142857143,0.2857142857142857
92,25.13344,23.792257,1.3411859,0.0,1.0
93,24.904737,23.57871,1.3260272,0.0,1.0
94,23.714426,22.824404,0.89002144,0.14285714285714285,0.8571428571428571
95,25.121336,23.709356,1.4119772,0.0,1.0
96,25.937147,24.413618,1.5235304,0.0,1.0
97,28.304049,24.8809,3.4231486,0.0,1.0
98,25.832308,24.433073,1.3992358,0.0,1.0
99,25.704239,23.388063,2.3161752,0.0,1.0
100,25.818373,24.919846,0.8985282,0.2857142857142857,0.7142857142857143
101,23.934368,23.73615,0.19821575,0.2857142857142857,0.7142857142857143
102,24.936426,24.735422,0.20100321,0.5714285714285714,0.42857142857142855
103,27.851776,25.536274,2.3155017,0.0,1.0
104,25.800055,25.122458,0.6775979,0.42857142857142855,0.5714285714285714
105,23.804613,22.939785,0.8648281,0.14285714285714285,0.8571428571428571
106,24.798431,24.289087,0.50934356,0.2857142857142857,0.7142857142857143
107,24.101809,24.3577,-0.2558929,0.5714285714285714,0.42857142857142855
108,23.95091,25.38156,-1.4306499,0.7142857142857143,0.2857142857142857
109,24.717468,24.206844,0.5106234,0.2857142857142857,0.7142857142857143
110,25.745325,25.566988,0.17833601,0.42857142857142855,0.5714285714285714
111,25.752674,25.242872,0.50980514,0.14285714285714285,0.8571428571428571
112,29.393614,25.59637,3.797245,0.0,1.0
113,25.428728,23.977175,1.451552,0.14285714285714285,0.8571428571428571
114,25.064777,24.902372,0.16240528,0.42857142857142855,0.5714285714285714
115,25.80904,23.957571,1.8514693,0.0,1.0
116,26.24286,25.614012,0.628849,0.42857142857142855,0.5714285714285714
117,25.864666,25.430197,0.4344646,0.2857142857142857,0.7142857142857143
118,25.079996,23.898394,1.1816027,0.2857142857142857,0.7142857142857143
119,24.880539,22.354902,2.5256386,0.0,1.0
120,24.718348,24.962574,-0.24423027,0.5714285714285714,0.42857142857142855
121,25.26775,24.827406,0.44034195,0.14285714285714285,0.8571428571428571
122,25.227388,23.987852,1.2395352,0.0,1.0
123,24.640093,25.196585,-0.55649537,0.7142857142857143,0.2857142857142857
124,25.696283,24.769268,0.9270164,0.0,1.0
125,25.854708,26.62886,-0.77415276,0.8571428571428571,0.14285714285714285
126,26.14012,25.243113,0.89700645,0.0,1.0
127,25.573503,25.669466,-0.095961705,0.5714285714285714,0.42857142857142855
128,25.500166,26.575464,-1.0752994,1.0,0.0
129,26.667004,25.081236,1.5857667,0.0,1.0
130,24.156677,24.245745,-0.08906664,0.5714285714285714,0.42857142857142855
131,25.751978,26.354599,-0.6026238,0.8571428571428571,0.14285714285714285
132,25.353445,24.761112,0.59233445,0.2857142857142857,0.7142857142857143
133,25.624895,25.823442,-0.19854818,0.7142857142857143,0.2857142857142857
134,24.016937,23.912289,0.104648866,0.7142857142857143,0.2857142857142857
135,24.371964,23.779728,0.59223586,0.2857142857142857,0.7142857142857143
136,26.082731,25.774632,0.30809838,0.42857142857142855,0.5714285714285714
137,25.06027,23.027365,2.0329032,0.0,1.0
138,25.046427,24.571941,0.4744824,0.2857142857142857,0.7142857142857143
139,25.607397,26.283266,-0.6758668,0.8571428571428571,0.14285714285714285
140,26.832687,24.82324,2.0094464,0.0,1.0
141,23.81494,24.484928,-0.6699897,0.8571428571428571,0.14285714285714285
142,26.290857,25.47539,0.81546646,0.0,1.0
143,25.43919,25.942877,-0.5036888,0.8571428571428571,0.14285714285714285
144,24.227627,22.912127,1.3154984,0.0,1.0
145,25.115622,24.515594,0.6000287,0.2857142857142857,0.7142857142857143
146,24.906092,26.294659,-1.3885678,0.8571428571428571,0.14285714285714285
147,25.891676,25.480127,0.4115486,0.42857142857142855,0.5714285714285714
148,25.070055,25.475328,-0.40527424,0.7142857142857143,0.2857142857142857
149,25.459332,24.221018,1.2383126,0.0,1.0
150,23.833921,23.934496,-0.10057504,0.5714285714285714,0.42857142857142855
151,25.89526,27.400816,-1.505557,1.0,0.0
152,25.571146,24.807957,0.76318794,0.2857142857142857,0.7142857142857143
153,26.170643,25.235077,0.93556595,0.14285714285714285,0.8571428571428571
154,24.029737,25.186611,-1.1568726,1.0,0.0
155,24.81172,24.964268,-0.15254974,0.5714285714285714,0.42857142857142855
156,25.705492,23.152315,2.5531785,0.0,1.0
157,25.396376,25.45711,-0.06073652,0.5714285714285714,0.42857142857142855
158,23.442514,23.880875,-0.43836185,0.5714285714285714,0.42857142857142855
159,25.03378,24.45723,0.5765476,0.14285714285714285,0.8571428571428571
160,24.290407,23.3708,0.9196063,0.0,1.0
161,26.844057,25.496578,1.3474805,0.14285714285714285,0.8571428571428571
162,25.89906,25.242949,0.6561132,0.2857142857142857,0.7142857142857143
163,26.00585,25.819494,0.18635477,0.14285714285714285,0.8571428571428571
164,24.662695,23.302912,1.3597819,0.0,1.0
165,24.941666,23.932968,1.0086992,0.0,1.0
166,26.344297,24.971964,1.3723305,0.0,1.0
167,26.46697,24.516129,1.9508463,0.0,1.0
168,25.2023,24.253363,0.9489351,0.14285714285714285,0.8571428571428571
169,24.229982,24.70577,-0.47579002,0.7142857142857143,0.2857142857142857
170,24.184523,23.96057,0.2239546,0.42857142857142855,0.5714285714285714
171,25.921865,24.544796,1.3770708,0.0,1.0
172,25.204174,23.894659,1.3095139,0.0,1.0
173,24.961695,24.06294,0.8987517,0.14285714285714285,0.8571428571428571
174,25.295492,23.331345,1.9641459,0.0,1.0
175,24.562418,22.291952,2.2704647,0.0,1.0
176,25.015507,24.94224,0.07326889,0.42857142857142855,0.5714285714285714
177,25.543484,24.607103,0.9363804,0.2857142857142857,0.7142857142857143
178,25.389408,24.338089,1.05132,0.14285714285714285,0.8571428571428571
179,26.300076,24.793911,1.5061654,0.0,1.0
180,25.710758,25.047825,0.6629344,0.2857142857142857,0.7142857142857143
181,25.717566,24.242987,1.4745786,0.0,1.0
182,25.694338,24.605621,1.0887165,0.14285714285714285,0.8571428571428571
183,26.054585,25.47291,0.5816746,0.0,1.0
184,26.123384,25.746552,0.37683323,0.14285714285714285,0.8571428571428571
185,26.17702,24.73557,1.4414471,0.0,1.0
186,24.72999,24.403118,0.32687134,0.2857142857142857,0.7142857142857143
187,25.3939,24.092743,1.301157,0.0,1.0
188,26.920332,25.329699,1.5906326,0.0,1.0
189,24.615023,24.522264,0.09275927,0.42857142857142855,0.5714285714285714
190,25.265413,26.04044,-0.7750277,0.7142857142857143,0.2857142857142857
191,26.2214,26.40397,-0.18257032,0.42857142857142855,0.5714285714285714
192,25.68672,25.90347,-0.21674702,0.7142857142857143,0.2857142857142857
193,25.62785,25.702494,-0.07464327,0.5714285714285714,0.42857142857142855
194,25.163975,25.473053,-0.30907685,0.7142857142857143,0.2857142857142857
195,25.232439,24.457212,0.77522767,0.0,1.0
196,24.297464,23.936754,0.36071068,0.2857142857142857,0.7142857142857143
197,27.815414,25.330246,2.48517,0.0,1.0
198,23.42926,23.209286,0.21997425,0.42857142857142855,0.5714285714285714
199,25.779371,25.365295,0.41407257,0.2857142857142857,0.7142857142857143
200,26.265028,26.74829,-0.4832584,0.7142857142857143,0.2857142857142857
201,24.900362,23.732681,1.1676794,0.0,1.0
202,26.039995,24.917082,1.1229128,0.14285714285714285,0.8571428571428571
203,25.374895,24.778904,0.59599113,0.14285714285714285,0.8571428571428571
204,24.462688,23.499334,0.96335167,0.0,1.0
205,24.334293,25.664806,-1.3305122,1.0,0.0
206,25.260393,25.15694,0.10345296,0.42857142857142855,0.5714285714285714
207,24.807968,24.159916,0.6480506,0.2857142857142857,0.7142857142857143
208,25.972778,25.171522,0.80125535,0.14285714285714285,0.8571428571428571
209,23.379482,22.726759,0.6527228,0.2857142857142857,0.7142857142857143
210,26.710978,26.185879,0.5250999,0.42857142857142855,0.5714285714285714
211,26.9359,25.316034,1.6198703,0.0,1.0
212,26.50346,24.819366,1.6840905,0.0,1.0
213,26.548197,24.2857,2.2624986,0.0,1.0
214,24.494696,24.148987,0.34570885,0.2857142857142857,0.7142857142857143
215,25.105944,25.246738,-0.14079311,0.5714285714285714,0.42857142857142855
216,26.12575,25.796793,0.3289607,0.42857142857142855,0.5714285714285714
217,24.956821,24.412994,0.5438295,0.14285714285714285,0.8571428571428571
218,26.723028,25.589306,1.1337231,0.0,1.0
219,26.192114,24.745419,1.4466983,0.0,1.0
220,25.887707,25.669626,0.21807888,0.42857142857142855,0.5714285714285714
221,24.929012,25.132572,-0.20356314,0.42857142857142855,0.5714285714285714
222,24.164553,25.004591,-0.8400361,0.7142857142857143,0.2857142857142857
223,25.116903,25.194124,-0.07721983,0.5714285714285714,0.42857142857142855
224,26.41388,24.472376,1.9415041,0.0,1.0
225,23.641493,23.450392,0.19109999,0.42857142857142855,0.5714285714285714
226,27.2083,24.661457,2.5468438,0.0,1.0
227,26.361147,25.84361,0.51753587,0.2857142857142857,0.7142857142857143
228,25.058393,24.517992,0.54039925,0.42857142857142855,0.5714285714285714
229,26.093973,24.332792,1.7611809,0.0,1.0
230,24.54696,25.028833,-0.48187065,1.0,0.0
231,24.420582,23.32663,1.0939528,0.0,1.0
232,24.639013,24.713423,-0.074409485,0.42857142857142855,0.5714285714285714
233,25.583477,25.766876,-0.18340138,0.5714285714285714,0.42857142857142855
234,26.23564,26.828602,-0.59296197,0.5714285714285714,0.42857142857142855
235,25.424286,25.288143,0.13614382,0.42857142857142855,0.5714285714285714
236,24.68785,23.44769,1.240163,0.14285714285714285,0.8571428571428571
237,26.482693,25.097086,1.3856076,0.0,1.0
238,24.750711,25.507944,-0.75723237,0.8571428571428571,0.14285714285714285
239,26.328068,26.194107,0.13396208,0.5714285714285714,0.42857142857142855
240,25.72938,25.23592,0.4934586,0.42857142857142855,0.5714285714285714
241,24.31941,23.909641,0.40976605,0.2857142857142857,0.7142857142857143
242,24.998316,23.805384,1.1929321,0.0,1.0
243,25.962385,25.010498,0.9518882,0.14285714285714285,0.8571428571428571
244,24.88242,23.71816,1.164259,0.0,1.0
245,26.42856,24.971247,1.4573154,0.0,1.0
246,26.605268,25.883753,0.7215192,0.0,1.0
247,25.320541,24.536028,0.7845178,0.2857142857142857,0.7142857142857143
248,26.211079,24.043253,2.1678264,0.0,1.0
249,25.655561,25.698835,-0.043275017,0.5714285714285714,0.42857142857142855
250,24.268373,25.055405,-0.7870317,0.7142857142857143,0.2857142857142857
251,25.221647,24.60029,0.6213586,0.14285714285714285,0.8571428571428571
252,25.200077,24.90683,0.29324505,0.2857142857142857,0.7142857142857143
253,25.058584,24.992422,0.06616538,0.5714285714285714,0.42857142857142855
254,25.598389,23.976885,1.6215055,0.0,1.0
255,24.442423,24.363247,0.079173766,0.7142857142857143,0.2857142857142857
256,25.394285,24.095842,1.2984403,0.14285714285714285,0.8571428571428571
257,25.471157,25.659534,-0.18837929,0.42857142857142855,0.5714285714285714
258,26.500978,25.041414,1.4595634,0.0,1.0
259,24.701807,23.816914,0.88489044,0.0,1.0
260,25.035275,26.443224,-1.4079524,1.0,0.0
261,24.298346,25.314123,-1.0157782,0.8571428571428571,0.14285714285714285
262,24.605225,22.979786,1.6254406,0.0,1.0
263,25.109293,23.91469,1.1946019,0.0,1.0
264,25.988958,25.19546,0.7935012,0.14285714285714285,0.8571428571428571
265,24.293161,23.370525,0.9226371,0.2857142857142857,0.7142857142857143
266,27.447943,26.996885,0.4510577,0.42857142857142855,0.5714285714285714
267,24.404795,22.952944,1.4518496,0.0,1.0
268,24.313639,24.629778,-0.3161414,0.8571428571428571,0.14285714285714285
269,26.122438,24.790821,1.3316195,0.0,1.0
270,25.239649,25.345747,-0.10609845,0.7142857142857143,0.2857142857142857
271,27.18642,25.640024,1.5463965,0.0,1.0
272,25.008345,24.933798,0.07454436,0.42857142857142855,0.5714285714285714
273,25.992077,24.44688,1.545193,0.0,1.0
274,24.298801,23.472109,0.8266931,0.0,1.0
275,26.460907,25.740093,0.72081405,0.0,1.0
276,25.935547,24.854536,1.0810097,0.0,1.0
277,25.248041,25.086294,0.16174507,0.42857142857142855,0.5714285714285714
278,26.114994,25.698185,0.41680908,0.42857142857142855,0.5714285714285714
