group,path,status,symmetry_diff,texture_var,edge_density,intensity_var,center_border_diff,pc1,pc2,consistency_score
uncanny,C:\Users\maryc\Downloads\881project\uncannyrobot\otonaroid.jpg,ok,50.056004,111.64820322261556,10.631776147959183,3930.7252449467,22.237643494897952,-0.19163125968633832,0.11251306190659403,-1.1578086499656772
uncanny,C:\Users\maryc\Downloads\881project\uncannyrobot\erica.jpg,ok,27.072544,161.6769332599759,10.41324537627551,3597.4285436627865,88.546981292517,-1.4988989639827275,1.060565568340247,-2.1818305000136715
uncanny,C:\Users\maryc\Downloads\881project\uncannyrobot\kaspar.jpg,ok,57.297432,69.43227925552819,13.005121970663266,9055.077383935079,99.61553996598639,0.21527108099127373,3.8894019466965237,-3.9270463777595412
uncanny,C:\Users\maryc\Downloads\881project\uncannyrobot\bina48.png,ok,41.21309,1299.6886998581324,38.375019929846935,5623.4577455326,9.787999574829925,4.289417725928027,-0.6965096419757397,-4.895501598612964
uncanny,C:\Users\maryc\Downloads\881project\uncannyrobot\nadine.png,ok,27.628508,750.6214517973106,17.761977838010203,3500.2268653052993,41.70046768707482,0.561450051419688,-0.3526413732490632,-1.7095656372607504
uncanny,C:\Users\maryc\Downloads\881project\uncannyrobot\geminoid H1-4.jpg,ok,64.98477,701.8948423547677,15.739297672193878,3518.3671256513803,37.2155612244898,1.437004081728048,0.18771603355401575,-2.083451075276109
uncanny,C:\Users\maryc\Downloads\881project\uncannyrobot\sophia.png,ok,42.317802,619.5845503860689,14.168925382653061,2857.091294446721,21.104830994897952,0.5613080035779228,-0.7005218100647219,-1.29759982713512
stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\albert einstein hubo.png,ok,19.701012,26.338647780841413,5.031289859693878,1957.5069331364152,31.113068664965994,-2.098557751943001,-0.76663768814472,-2.2916875463458792
stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\alter.png,ok,20.143694,262.2305881114167,8.969925860969388,1569.1032158888565,38.807583971088434,-1.4964265458376564,-0.9214711304575649,-1.9188620557320017
stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\romeo.png,ok,23.574099,95.08691765595752,8.070392219387756,5980.655783135311,34.5334024234694,-1.000638662625711,0.8683056317187055,-1.9221163736017284
stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\kengoro.png,ok,28.346102,461.0094043186733,21.095842633928573,2025.6222271929178,20.24253295068027,0.3702951738762196,-1.3946250852635795,-1.6715964236847651
stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\milo.png,ok,59.484215,1091.4508267108324,17.192781409438776,7146.00256788547,18.853900935374128,2.8021759974230016,0.9976644453768461,-3.441413031221327
